Entity,Code,Year,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Rate)
Japan,JPN,1990,3.95
Japan,JPN,1995,4.82
Japan,JPN,2000,5.93
Japan,JPN,2005,7.87
Japan,JPN,2010,9.83
Japan,JPN,2015,11.72
Japan,JPN,2019,13.11
Lebanon,LBN,1990,2.55
Lebanon,LBN,1995,2.63
Lebanon,LBN,2000,2.9
Lebanon,LBN,2005,3.54
Lebanon,LBN,2010,4.37
Lebanon,LBN,2015,4.24
Lebanon,LBN,2019,4.37
United Kingdom,GBR,1990,8.38
United Kingdom,GBR,1995,8.38
United Kingdom,GBR,2000,8.76
United Kingdom,GBR,2005,9.62
United Kingdom,GBR,2010,10.14
United Kingdom,GBR,2015,11.04
United Kingdom,GBR,2019,11.76
