Entity,Code,Year,Total deaths - Drought (decadal),Total deaths - Flood (decadal),Total deaths - Earthquake (decadal),Total deaths - Extreme weather (decadal),Total deaths - Extreme temperature (decadal),Total deaths - Volcanic activity (decadal),Total deaths - Landslide (decadal),Total deaths - Wildfire (decadal),Total deaths - Glacial lake outburst (decadal),Total deaths - Dry mass movement (decadal),Total deaths - Fog (decadal)
World,OWID_WRL,1900,126100.0,62.8,15314.8,1801.4,0.0,3943.7,5.3,0.0,0.0,12.7,0
World,OWID_WRL,1910,8500.0,10137.9,7031.1,5994.8,0.0,647.5,11.8,107.3,0.0,0.0,0
World,OWID_WRL,1920,472400.0,428.2,38997.3,11998.8,0.0,14.4,42.8,10.3,0.0,0.0,0
World,OWID_WRL,1930,0.0,436146.5,16664.0,9383.5,169.3,317.5,103.3,7.1,0.0,4.0,0
World,OWID_WRL,1940,345000.0,10103.2,16772.8,12726.0,0.0,212.6,1752.5,25.0,0.0,0.0,0
World,OWID_WRL,1950,0.0,206169.8,2174.8,3125.7,149.6,510.0,215.0,1.1,0.0,0.3,400
World,OWID_WRL,1960,151065.0,3239.4,5211.9,13393.1,112.7,324.2,506.8,9.9,0.0,215.0,0
World,OWID_WRL,1970,11908.1,7066.3,43186.3,35733.9,155.3,52.6,745.3,0.5,0.0,0.0,0
World,OWID_WRL,1980,55726.8,5100.8,5852.1,4607.6,533.5,2400.2,630.1,39.6,0.0,119.6,0
World,OWID_WRL,1990,313.4,9539.3,10347.8,21114.8,932.3,97.4,860.4,85.9,0.0,58.8,0
World,OWID_WRL,2000,112.6,5388.6,45363.5,17210.8,9167.9,23.7,771.7,62.9,0.0,28.2,0
World,OWID_WRL,2010,2012.0,5066.1,26747.9,2763.2,7440.5,136.3,1009.9,88.1,0.0,10.0,0
World,OWID_WRL,2020,661.5,5886.25,14804.0,1664.5,17400.75,27.75,388.25,147.25,65.25,0.0,0
