Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,ARI treatment (% of children under 5 taken to a health provider),Continent
Afghanistan,AFG,2021,5.565748,,
Albania,ALB,2021,0.9455919,,
Algeria,DZA,2021,2.2335286,,
Angola,AGO,2021,6.9421334,,
Argentina,ARG,2021,0.69181985,,
Armenia,ARM,2021,1.0721141,,
Bangladesh,BGD,2021,2.727363,,
Belarus,BLR,2021,0.27249396,,
Belize,BLZ,2021,1.1186618,,
Benin,BEN,2021,8.352425,,
Bolivia,BOL,2021,2.469194,,
Burundi,BDI,2021,5.260476,,
Cameroon,CMR,2021,6.9788027,,
Central African Republic,CAF,2021,9.991608,,
Chad,TCD,2021,10.706548,,
Ethiopia,ETH,2021,4.6811466,,
Europe,,2021,0.4408454,,
Gambia,GMB,2021,4.7885857,,
Ghana,GHA,2021,4.3974524,,
Guinea,GIN,2021,9.872694,,
Guinea-Bissau,GNB,2021,7.4305315,,
Haiti,HTI,2021,5.8632684,,
India,IND,2021,3.0619214,69.0,
Indonesia,IDN,2021,2.2173412,,
Jordan,JOR,2021,1.4598967,,
Kiribati,KIR,2021,4.822911,,
Laos,LAO,2021,4.2509923,,
Lesotho,LSO,2021,7.2925363,,
Liberia,LBR,2021,7.604017,,
Madagascar,MDG,2021,6.6003,,
Malawi,MWI,2021,4.1899285,,
Mongolia,MNG,2021,1.4734358,,
Morocco,MAR,2021,1.7995571,,
Nigeria,NGA,2021,11.081927,,
North America,,2021,0.61332315,,
North Korea,PRK,2021,1.54,,
Oceania,,2021,2.0269809,,
Pakistan,PAK,2021,6.333255,,
Peru,PER,2021,1.4122609,,
Senegal,SEN,2021,3.8599858,,
Sierra Leone,SLE,2021,10.468697,,
Somalia,SOM,2021,11.178455,,
South Africa,ZAF,2021,3.2847328,,
Sri Lanka,LKA,2021,0.6748074,,
Tanzania,TZA,2021,4.7116404,,
Togo,TGO,2021,6.260445,,
Zambia,ZMB,2021,5.769183,,
Zimbabwe,ZWE,2021,4.952197,,
