Entity,Code,Year,locelect_vdem_owid,locelect_vdem_low_owid,locelect_vdem_high_owid
Argentina,ARG,1850,0.475,0.462,0.5
Argentina,ARG,1900,0.95,0.922,0.999
Argentina,ARG,1950,0.981,0.96,0.999
Argentina,ARG,2000,0.933,0.904,0.976
Argentina,ARG,2022,0.912,0.871,0.955
Australia,AUS,1789,0.0,0.0,0.0
Australia,AUS,1850,0.263,0.043,0.398
Australia,AUS,1900,0.995,0.988,0.999
Australia,AUS,1950,0.995,0.988,0.999
Australia,AUS,2000,0.976,0.963,0.999
Australia,AUS,2022,0.995,0.989,0.999
Botswana,BWA,2000,0.941,0.922,0.974
Botswana,BWA,2022,0.941,0.911,0.977
China,CHN,1900,0.01,0.0,0.023
China,CHN,1950,0.041,0.0,0.064
China,CHN,2000,0.025,0.0,0.038
China,CHN,2022,0.066,0.0,0.103
