Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Annual CO₂ emissions (per capita),Per capita consumption-based CO₂ emissions
Cameroon,CMR,1990,3483.1868,0.22788055,0.26728132
Cameroon,CMR,1995,2710.938,0.4068132,0.42502958
Cameroon,CMR,2000,2937.992,0.37030995,0.4098372
Cameroon,CMR,2005,3228.361,0.31396836,0.36282235
Cameroon,CMR,2010,3298.6245,0.42173776,0.4836827
Cameroon,CMR,2015,3614.7556,0.42805427,0.4839475
Cameroon,CMR,2022,,0.34292704,
Mozambique,MOZ,1990,460.1237,0.07707588,0.30207744
Mozambique,MOZ,1995,465.83328,0.072522305,0.27083728
Mozambique,MOZ,2000,628.6933,0.07439819,0.24470684
Mozambique,MOZ,2005,832.83887,0.087560594,0.275305
Mozambique,MOZ,2010,1047.5914,0.11417954,0.35768571
Mozambique,MOZ,2015,1271.9619,0.25073743,0.5724419
Mozambique,MOZ,2022,,0.24274588,
Philippines,PHL,1990,4232.4775,0.67170626,1.019704
Philippines,PHL,1995,4197.3447,0.86590916,1.1670067
Philippines,PHL,2000,4455.6724,0.92814827,1.1669886
Philippines,PHL,2005,5058.0474,0.849781,1.0924926
Philippines,PHL,2010,5876.478,0.8777076,1.0808116
Philippines,PHL,2015,7235.0815,1.091407,1.3958638
Philippines,PHL,2022,,1.3014648,
Trinidad and Tobago,TTO,1990,9766.818,13.407681,9.297041
Trinidad and Tobago,TTO,1995,11466.5205,11.264848,7.768971
Trinidad and Tobago,TTO,2000,16190.903,18.290224,7.6473217
Trinidad and Tobago,TTO,2005,23242.639,27.921558,11.018454
Trinidad and Tobago,TTO,2010,27329.424,33.405613,17.638165
Trinidad and Tobago,TTO,2015,29876.98,31.201414,15.822163
Trinidad and Tobago,TTO,2022,,22.423758,
United Arab Emirates,ARE,1990,105893.625,27.21022,29.375633
United Arab Emirates,ARE,1995,99510.35,29.771353,32.535683
United Arab Emirates,ARE,2000,96835.89,34.137882,28.248598
United Arab Emirates,ARE,2005,96188.125,26.722624,33.75807
United Arab Emirates,ARE,2010,54664.613,21.79288,24.3165
United Arab Emirates,ARE,2015,68076.63,25.309628,27.546715
United Arab Emirates,ARE,2022,,25.833244,
United Kingdom,GBR,1990,31537.848,10.521594,11.704264
United Kingdom,GBR,1995,33718.508,9.773094,11.122535
United Kingdom,GBR,2000,39080.867,9.669214,12.644138
United Kingdom,GBR,2005,42926.992,9.4452305,12.422789
United Kingdom,GBR,2010,42270.434,8.156536,10.783701
United Kingdom,GBR,2015,44948.336,6.4770393,9.024856
United Kingdom,GBR,2022,,4.7201805,
