Entity,Code,Year,MCV2 (% of one-year-olds immunized)
African Region (WHO),,2000,5
African Region (WHO),,2005,4
African Region (WHO),,2010,5
African Region (WHO),,2015,17
African Region (WHO),,2021,41
Eastern Mediterranean Region (WHO),,2000,27
Eastern Mediterranean Region (WHO),,2005,39
Eastern Mediterranean Region (WHO),,2010,52
Eastern Mediterranean Region (WHO),,2015,68
Eastern Mediterranean Region (WHO),,2021,77
European Region (WHO),,2000,48
European Region (WHO),,2005,77
European Region (WHO),,2010,80
European Region (WHO),,2015,89
European Region (WHO),,2021,91
Region of the Americas (WHO),,2000,65
Region of the Americas (WHO),,2005,62
Region of the Americas (WHO),,2010,67
Region of the Americas (WHO),,2015,78
Region of the Americas (WHO),,2021,75
South-East Asia Region (WHO),,2000,3
South-East Asia Region (WHO),,2005,6
South-East Asia Region (WHO),,2010,15
South-East Asia Region (WHO),,2015,66
South-East Asia Region (WHO),,2021,78
Western Pacific Region (WHO),,2000,2
Western Pacific Region (WHO),,2005,64
Western Pacific Region (WHO),,2010,87
Western Pacific Region (WHO),,2015,92
Western Pacific Region (WHO),,2021,91
