Entity,Code,Year,Hidden Hunger Index in pre-school children (Muthayya et al. (2013)),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average) | 00021012 || Value | 006121 || Percent",Population (historical estimates),Continent
Afghanistan,AFG,2011,,74.0,29249156.0,
Africa,,2011,,,1082676070.0,
Asia,,2011,,,4268479060.0,
Bangladesh,BGD,2011,,81.0,150211008.0,
Benin,BEN,2011,,67.0,9726385.0,
Botswana,BWA,2011,,45.0,2134043.0,
Brazil,BRA,2011,,33.0,198185296.0,
Cambodia,KHM,2011,,72.0,14573894.0,
Chile,CHL,2011,,43.0,17173568.0,
China,CHN,2011,,53.0,1357095424.0,
Colombia,COL,2011,,34.0,45308896.0,
Comoros,COM,2011,,56.0,670081.0,
Cote d'Ivoire,CIV,2011,,71.0,21562916.0,
Democratic Republic of Congo,COD,2011,,74.0,68654272.0,
Egypt,EGY,2011,,66.0,89200056.0,
Ethiopia,ETH,2011,,75.0,91817936.0,
Europe,,2011,,,738734474.0,
Gambia,GMB,2011,,60.0,1998215.0,
Ghana,GHA,2011,,64.0,26205940.0,
Guatemala,GTM,2011,,47.0,14833458.0,
Haiti,HTI,2011,,51.0,9954318.0,
Hungary,HUN,2011,,30.0,9953247.0,
India,IND,2011,,59.0,1257621248.0,
Indonesia,IDN,2011,,71.0,247099696.0,
Iran,IRN,2011,,52.0,76342968.0,
Kazakhstan,KAZ,2011,,36.0,16864920.0,
Kenya,KEN,2011,,59.0,42635148.0,
Kiribati,KIR,2011,,36.0,109887.0,
Laos,LAO,2011,,67.0,6416331.0,
Lebanon,LBN,2011,,40.0,5045061.0,
Lesotho,LSO,2011,,78.0,2037687.0,
Malaysia,MYS,2011,,44.0,29184140.0,
Mali,MLI,2011,,65.0,16039734.0,
Mexico,MEX,2011,,42.0,114150480.0,
Moldova,MDA,2011,,53.0,3595135.0,
Morocco,MAR,2011,,60.0,32903708.0,
Myanmar,MMR,2011,,51.0,49794528.0,
Nepal,NPL,2011,,68.0,27266398.0,
Nigeria,NGA,2011,,67.0,165463744.0,
North America,,2011,,,548684151.0,
Oceania,,2011,,,37730469.0,
Oman,OMN,2011,,38.0,3206883.0,
Pakistan,PAK,2011,,51.0,198602736.0,
Papua New Guinea,PNG,2011,,41.0,7806637.0,
Peru,PER,2011,,53.0,29477722.0,
Philippines,PHL,2011,,58.0,96337912.0,
Russia,RUS,2011,,41.0,143364544.0,
Samoa,WSM,2011,,28.0,196364.0,
Sao Tome and Principe,STP,2011,,43.0,186058.0,
Saudi Arabia,SAU,2011,,46.0,30150952.0,
Sierra Leone,SLE,2011,,68.0,6612390.0,
South Africa,ZAF,2011,,51.0,52443320.0,
South America,,2011,,,397135158.0,
Sudan,SDN,2011,,18.0,34419628.0,
Tanzania,TZA,2011,,56.0,46416032.0,
Turkey,TUR,2011,,46.0,74173856.0,
Uruguay,URY,2011,,39.0,3361631.0,
Vanuatu,VUT,2011,,46.0,251309.0,
Vietnam,VNM,2011,,60.0,88349104.0,
Yemen,YEM,2011,,64.0,25475608.0,
Zambia,ZMB,2011,,67.0,14265824.0,
