Entity,Code,Year,Happiness: Happy (aggregate)
Albania,ALB,2010,66.85212
Albania,ALB,2022,73.9271
Argentina,ARG,1993,76.34731
Argentina,ARG,2010,87.6046
Argentina,ARG,2022,85.70853
Brazil,BRA,1993,75.47923
Brazil,BRA,2010,90.36794
Brazil,BRA,2022,89.20344
Georgia,GEO,2010,66.9804
Georgia,GEO,2022,78.81092
Germany,DEU,1993,81.29448
Germany,DEU,2010,81.0883
Germany,DEU,2022,86.399
India,IND,1993,72.0
India,IND,2010,75.36232
Russia,RUS,1993,47.22081
Russia,RUS,2010,67.51584
Russia,RUS,2022,79.44434
Sweden,SWE,1993,95.41547
Sweden,SWE,2010,91.55124
Sweden,SWE,2022,93.77649
Zimbabwe,ZWE,2022,51.93416
