Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2021 United States dollars) - DC_ODA_BDVDL"
Germany,DEU,2002,263610000.0
Germany,DEU,2005,342570000.0
Germany,DEU,2010,636110000.0
Germany,DEU,2015,1396980000.0
Germany,DEU,2021,2492360000.0
Norway,NOR,2002,65620000.00000001
Norway,NOR,2005,58580000.0
Norway,NOR,2010,554560000.0
Norway,NOR,2015,714810000.0
Norway,NOR,2021,682780000.0
South Korea,KOR,2010,3980000.0
South Korea,KOR,2015,36130000.0
South Korea,KOR,2021,235240000.0
