Entity,Code,Year,Male:female suicide ratio
China,CHN,1990,0.88
China,CHN,1995,0.9
China,CHN,2000,1.14
China,CHN,2005,1.27
China,CHN,2010,1.3
China,CHN,2015,1.48
China,CHN,2017,1.56
India,IND,1990,1.04
India,IND,1995,1.05
India,IND,2000,1.07
India,IND,2005,1.16
India,IND,2010,1.4
India,IND,2015,1.35
India,IND,2017,1.35
Japan,JPN,1990,1.98
Japan,JPN,1995,2.28
Japan,JPN,2000,2.75
Japan,JPN,2005,2.79
Japan,JPN,2010,2.68
Japan,JPN,2015,2.56
Japan,JPN,2017,2.59
United Kingdom,GBR,1990,2.96
United Kingdom,GBR,1995,3.31
United Kingdom,GBR,2000,3.35
United Kingdom,GBR,2005,3.35
United Kingdom,GBR,2010,3.44
United Kingdom,GBR,2015,3.4
United Kingdom,GBR,2017,3.41
United States,USA,1990,4.13
United States,USA,1995,4.26
United States,USA,2000,3.99
United States,USA,2005,3.67
United States,USA,2010,3.45
United States,USA,2015,3.41
United States,USA,2017,3.53
World,OWID_WRL,1990,1.57
World,OWID_WRL,1995,1.7
World,OWID_WRL,2000,1.89
World,OWID_WRL,2005,2.03
World,OWID_WRL,2010,2.11
World,OWID_WRL,2015,2.19
World,OWID_WRL,2017,2.21
