Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)",GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2017,,,,1263333997.0,
Asia,,2017,,,,4547095064.0,
Bangladesh,BGD,2017,3523.98385062592,3837.0503,,161793968.0,
Central African Republic,CAF,2017,661.239967689311,606.6967,,4996741.0,
China,CHN,2017,15308.712122905,12733.932,,1410275968.0,
Czechia,CZE,2017,32605.9063265661,29997.758,,10531315.0,
Democratic Republic of Congo,COD,2017,808.133213366763,838.7815,,84283272.0,
Dominican Republic,DOM,2017,14600.8605841474,15018.936,,10647247.0,
Ethiopia,ETH,2017,1729.9266389468,1753.3181,,108197944.0,
Europe,,2017,,,,745657647.0,
Georgia,GEO,2017,9745.07890399104,11430.724,,3771904.0,
India,IND,2017,6426.67440634599,6449.1133,,1354195712.0,
Indonesia,IDN,2017,11188.7440161175,11364.554,,264498848.0,
Iran,IRN,2017,19082.619603326,17686.805,,84505080.0,
Japan,JPN,2017,39002.2233247384,38414.863,,126662464.0,
Madagascar,MDG,2017,1416.43950728464,1399.576,,26169540.0,
Mozambique,MOZ,2017,1136.10256446235,1124.6561,,28569448.0,
North America,,2017,53191.8932916198,,,581258143.0,
Oceania,,2017,,,,41817267.0,
Pakistan,PAK,2017,5034.70775633353,5392.2285,,216379648.0,
Qatar,QAT,2017,116935.600359799,154669.03,,2711764.0,
Russia,RUS,2017,24765.9536336261,24042.635,,145452544.0,
Singapore,SGP,2017,85535.3832002,67331.03,,5764489.0,
South America,,2017,,,,420982650.0,
Tajikistan,TJK,2017,2896.91285075403,4204.9053,,8925529.0,
Tanzania,TZA,2017,2683.3040235534,2762.8704,,56267040.0,
Ukraine,UKR,2017,7894.39292578581,9484.381,,44657260.0,
United States,USA,2017,54225.4461231621,54007.77,,329791232.0,
Uzbekistan,UZB,2017,6253.10386034453,10743.866,,31945680.0,
Yemen,YEM,2017,,2321.9238,,30034386.0,
