Entity,Code,Year,Share under $5 per day
Kazakhstan,KAZ,1820,91.5013849707759
Kazakhstan,KAZ,1850,92.5130062467834
Kazakhstan,KAZ,1950,19.9837953358252
Kazakhstan,KAZ,2000,9.29531694994357
Kazakhstan,KAZ,2017,0.359207351177288
Panama,PAN,1820,77.961342311757
Panama,PAN,1850,71.0413171582865
Panama,PAN,1950,48.6687032759175
Panama,PAN,2000,15.2154106093286
Panama,PAN,2017,1.72017552106656
Philippines,PHL,1820,88.2301187612754
Philippines,PHL,1850,91.356721721873
Philippines,PHL,1950,70.5468412798135
Philippines,PHL,2000,40.4523783772876
Philippines,PHL,2017,11.3000588183993
South Korea,KOR,1820,90.7767331743844
South Korea,KOR,1850,93.9144796513533
South Korea,KOR,1950,91.4815405854587
South Korea,KOR,2000,0.0016303080407124
South Korea,KOR,2017,0.0001078375593382
Spain,ESP,1820,70.4863361412561
Spain,ESP,1850,65.7258213548499
Spain,ESP,1950,25.3070225580928
Spain,ESP,2000,0.0034116762740243
Spain,ESP,2017,0.0051277521360731
Uganda,UGA,1820,93.2488859366205
Uganda,UGA,1850,95.6761882735548
Uganda,UGA,1950,84.969096433921
Uganda,UGA,2000,82.3077542739894
Uganda,UGA,2017,69.0388633044961
