Entity,Code,Year,Human Height (University of Tuebingen (2015))
France,FRA,1810,163.9
France,FRA,1820,163.9
France,FRA,1840,164.3
France,FRA,1860,165.4
France,FRA,1880,165.9
France,FRA,1900,166.8
France,FRA,1920,168.5
France,FRA,1940,171.7
France,FRA,1960,174.9
France,FRA,1980,176.5
Germany,DEU,1810,167.8
Germany,DEU,1820,167.3
Germany,DEU,1840,166.6
Germany,DEU,1860,165.5
Germany,DEU,1880,167.9
Germany,DEU,1900,169.2
Germany,DEU,1920,173.3
Germany,DEU,1940,175.2
Germany,DEU,1960,178.9
Germany,DEU,1980,180.5
Netherlands,NLD,1810,166.0
Netherlands,NLD,1820,165.1
Netherlands,NLD,1840,164.5
Netherlands,NLD,1860,166.5
Netherlands,NLD,1880,168.5
Netherlands,NLD,1900,170.9
Netherlands,NLD,1920,173.5
Netherlands,NLD,1940,177.5
Netherlands,NLD,1960,182.2
Netherlands,NLD,1980,182.7
