Entity,Code,Year,Coal per capita (kWh)
Australia,AUS,1965,17785.008
Australia,AUS,1970,18395.691
Australia,AUS,1980,22083.273
Australia,AUS,1990,26064.475
Australia,AUS,2000,31110.68
Australia,AUS,2010,27584.8
Australia,AUS,2022,16455.543
China,CHN,1965,1838.3798
China,CHN,1970,2345.9802
China,CHN,1980,3602.5225
China,CHN,1990,5317.2354
China,CHN,2000,6495.8564
China,CHN,2010,15087.28
China,CHN,2022,17224.002
India,IND,1965,826.6257
India,IND,1970,783.51184
India,IND,1980,946.52435
India,IND,1990,1465.9336
India,IND,2000,1803.6102
India,IND,2010,2699.1045
India,IND,2022,3938.424
Indonesia,IDN,1965,14.8309765
Indonesia,IDN,1970,8.780909
Indonesia,IDN,1980,19.85725
Indonesia,IDN,1990,218.4231
Indonesia,IDN,2000,715.03564
Indonesia,IDN,2010,1760.6184
Indonesia,IDN,2022,4415.625
United Kingdom,GBR,1965,25176.803
United Kingdom,GBR,1970,20067.49
United Kingdom,GBR,1980,14673.173
United Kingdom,GBR,1990,13202.315
United Kingdom,GBR,2000,7258.2407
United Kingdom,GBR,2010,5653.417
United Kingdom,GBR,2022,869.8455
United States,USA,1965,16996.248
United States,USA,1970,17045.314
United States,USA,1980,19243.434
United States,USA,1990,21516.92
United States,USA,2000,22261.219
United States,USA,2010,18640.299
United States,USA,2022,8103.174
