Entity,Code,Year,17.4.1 - Debt service as a proportion of exports of goods and services (%) - DT_TDS_DECT
Argentina,ARG,1980,18.44
Argentina,ARG,1990,34.89
Argentina,ARG,2000,40.29
Argentina,ARG,2010,10.42
Argentina,ARG,2021,12.12
Bangladesh,BGD,1980,20.59
Bangladesh,BGD,1990,33.73
Bangladesh,BGD,2000,10.3
Bangladesh,BGD,2010,4.45
Bangladesh,BGD,2021,5.94
Brazil,BRA,1975,18.53
Brazil,BRA,1980,35.17
Brazil,BRA,1990,18.6
Brazil,BRA,2000,36.66
Brazil,BRA,2010,5.94
Brazil,BRA,2021,6.49
Pakistan,PAK,1980,22.83
Pakistan,PAK,1990,22.7
Pakistan,PAK,2000,21.07
Pakistan,PAK,2010,11.54
Pakistan,PAK,2021,29.45
