Entity,Code,Year,"Number of new cases of dengue, in both sexes aged all ages"
African Region (WHO),,1990,2605301.5
African Region (WHO),,1995,3018111.2
African Region (WHO),,2000,3526085.5
African Region (WHO),,2005,4463936.0
African Region (WHO),,2010,5596795.5
African Region (WHO),,2015,4725041.5
African Region (WHO),,2019,4841657.5
Eastern Mediterranean Region (WHO),,1990,1082660.5
Eastern Mediterranean Region (WHO),,1995,1238547.6
Eastern Mediterranean Region (WHO),,2000,1463985.9
Eastern Mediterranean Region (WHO),,2005,1744505.2
Eastern Mediterranean Region (WHO),,2010,2160311.2
Eastern Mediterranean Region (WHO),,2015,2239311.0
Eastern Mediterranean Region (WHO),,2019,2321943.5
European Region (WHO),,1990,0.0
European Region (WHO),,1995,0.0
European Region (WHO),,2000,0.0
European Region (WHO),,2005,0.0
European Region (WHO),,2010,0.0
European Region (WHO),,2015,0.0
European Region (WHO),,2019,0.0
Region of the Americas (WHO),,1990,2732621.2
Region of the Americas (WHO),,1995,3620419.0
Region of the Americas (WHO),,2000,4749684.0
Region of the Americas (WHO),,2005,5418278.0
Region of the Americas (WHO),,2010,6306866.0
Region of the Americas (WHO),,2015,6114636.5
Region of the Americas (WHO),,2019,5012397.0
South-East Asia Region (WHO),,1990,20724982.0
South-East Asia Region (WHO),,1995,22691928.0
South-East Asia Region (WHO),,2000,25230836.0
South-East Asia Region (WHO),,2005,28600374.0
South-East Asia Region (WHO),,2010,31442036.0
South-East Asia Region (WHO),,2015,32779300.0
South-East Asia Region (WHO),,2019,33763304.0
Western Pacific Region (WHO),,1990,3452399.2
Western Pacific Region (WHO),,1995,4114470.2
Western Pacific Region (WHO),,2000,5024423.0
Western Pacific Region (WHO),,2005,6692190.5
Western Pacific Region (WHO),,2010,8221159.0
Western Pacific Region (WHO),,2015,8873996.0
Western Pacific Region (WHO),,2019,10839434.0
