Entity,Code,Year,Total greenhouse gas emissions per capita including land-use change and forestry
Cape Verde,CPV,1990,-0.54858845
Cape Verde,CPV,1995,-0.34030637
Cape Verde,CPV,2000,-0.10910884
Cape Verde,CPV,2005,1.0956881
Cape Verde,CPV,2010,1.2278907
Cape Verde,CPV,2015,1.1047342
Cape Verde,CPV,2020,1.2529049
Ireland,IRL,1990,18.52314
Ireland,IRL,1995,19.027872
Ireland,IRL,2000,20.944803
Ireland,IRL,2005,19.756287
Ireland,IRL,2010,16.081047
Ireland,IRL,2015,15.30296
Ireland,IRL,2020,13.436787
Lebanon,LBN,1990,2.028547
Lebanon,LBN,1995,3.9144952
Lebanon,LBN,2000,4.381285
Lebanon,LBN,2005,4.5013494
Lebanon,LBN,2010,5.0542464
Lebanon,LBN,2015,5.1274114
Lebanon,LBN,2020,5.098073
Madagascar,MDG,1990,4.501478
Madagascar,MDG,1995,3.9238205
Madagascar,MDG,2000,3.3274891
Madagascar,MDG,2005,2.6218362
Madagascar,MDG,2010,2.2879703
Madagascar,MDG,2015,1.5283141
Madagascar,MDG,2020,1.4246144
United States,USA,1990,21.963312
United States,USA,1995,21.688955
United States,USA,2000,22.68273
United States,USA,2005,21.500145
United States,USA,2010,19.484684
United States,USA,2015,17.575426
United States,USA,2020,15.744175
