Entity,Code,Year,"Inflation, consumer prices (annual %)"
Burundi,BDI,1970,-0.19965062
Burundi,BDI,1980,2.4985194
Burundi,BDI,1990,7.0021696
Burundi,BDI,2000,24.432024
Burundi,BDI,2010,6.493266
Burundi,BDI,2021,8.404538
Comoros,COM,2010,3.3547578
Iran,IRN,1960,9.822411
Iran,IRN,1970,1.666871
Iran,IRN,1980,20.643915
Iran,IRN,1990,7.627675
Iran,IRN,2000,14.476751
Iran,IRN,2010,10.089363
Iran,IRN,2021,43.389015
Libya,LBY,1970,-5.2963715
Libya,LBY,1980,9.734289
Libya,LBY,1990,8.451463
Libya,LBY,2000,-2.9
Libya,LBY,2010,2.799895
Saint Kitts and Nevis,KNA,1980,17.736654
Saint Kitts and Nevis,KNA,1990,4.010984
Saint Kitts and Nevis,KNA,2000,2.1488552
Saint Kitts and Nevis,KNA,2010,0.85087866
Saint Kitts and Nevis,KNA,2021,1.1956888
Sri Lanka,LKA,1960,-1.5446768
Sri Lanka,LKA,1970,5.866956
Sri Lanka,LKA,1980,26.14541
Sri Lanka,LKA,1990,21.495253
Sri Lanka,LKA,2000,6.1762757
Sri Lanka,LKA,2010,6.217649
Sri Lanka,LKA,2021,7.0147805
