Entity,Code,Year,Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Rate)
China,CHN,1990,141.84
China,CHN,1995,128.92
China,CHN,2000,119.84
China,CHN,2005,89.09
China,CHN,2010,63.19
China,CHN,2015,49.35
China,CHN,2019,34.98
Democratic Republic of Congo,COD,1990,177.63
Democratic Republic of Congo,COD,1995,158.99
Democratic Republic of Congo,COD,2000,139.77
Democratic Republic of Congo,COD,2005,131.59
Democratic Republic of Congo,COD,2010,113.7
Democratic Republic of Congo,COD,2015,98.28
Democratic Republic of Congo,COD,2019,79.15
India,IND,1990,101.18
India,IND,1995,92.73
India,IND,2000,83.98
India,IND,2005,78.57
India,IND,2010,72.45
India,IND,2015,66.49
India,IND,2019,56.88
Niger,NER,1990,240.37
Niger,NER,1995,225.8
Niger,NER,2000,198.26
Niger,NER,2005,177.0
Niger,NER,2010,132.89
Niger,NER,2015,144.65
Niger,NER,2019,130.08
Nigeria,NGA,1990,182.39
Nigeria,NGA,1995,186.52
Nigeria,NGA,2000,182.36
Nigeria,NGA,2005,183.84
Nigeria,NGA,2010,172.52
Nigeria,NGA,2015,164.54
Nigeria,NGA,2019,148.76
