Entity,Code,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air
Argentina,ARG,1990,13500
Argentina,ARG,1995,13800
Argentina,ARG,2000,15000
Argentina,ARG,2005,15400
Argentina,ARG,2010,16200
Argentina,ARG,2015,16600
China,CHN,1990,945300
China,CHN,1995,981600
China,CHN,2000,1039300
China,CHN,2005,1140100
China,CHN,2010,1098800
China,CHN,2015,1108100
India,IND,1990,737400
India,IND,1995,795200
India,IND,2000,857300
India,IND,2005,895900
India,IND,2010,957000
India,IND,2015,1090400
Japan,JPN,1990,38100
Japan,JPN,1995,40700
Japan,JPN,2000,41800
Japan,JPN,2005,48200
Japan,JPN,2010,50800
Japan,JPN,2015,60600
United Kingdom,GBR,1990,42800
United Kingdom,GBR,1995,39600
United Kingdom,GBR,2000,34500
United Kingdom,GBR,2005,29100
United Kingdom,GBR,2010,26000
United Kingdom,GBR,2015,27200
