Entity,Code,Year,"16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - 18 years old and over - Male","16.2.2 - Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number) - VC_HTF_DETVFL - 18 years old and over - Female",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Argentina,ARG,2020,121.0,489.0,45036032.0,
Asia,,2020,,,4663086623.0,
Bulgaria,BGR,2020,51.0,13.0,6979181.0,
Chile,CHL,2020,11.0,6.0,19300318.0,
Colombia,COL,2020,,,50930656.0,
Croatia,HRV,2020,,,4096872.0,
Czechia,CZE,2020,5.0,5.0,10530951.0,
Europe,,2020,,,747462669.0,
France,FRA,2020,,,64480052.0,
Germany,DEU,2020,16.0,48.0,83328992.0,
Greece,GRC,2020,9.0,12.0,10512232.0,
Honduras,HND,2020,,,10121762.0,
Ireland,IRL,2020,,8.0,4946123.0,
Kenya,KEN,2020,,,51985780.0,
Malaysia,MYS,2020,52.0,,33199988.0,
Malta,MLT,2020,,,515364.0,
Mexico,MEX,2020,,,125998296.0,
Moldova,MDA,2020,,84.0,3084848.0,
Montenegro,MNE,2020,12.0,27.0,629058.0,
Myanmar,MMR,2020,,,53423200.0,
Nepal,NPL,2020,22.0,,29348626.0,
Nigeria,NGA,2020,,,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Peru,PER,2020,,,33304768.0,
Poland,POL,2020,,7.0,38428368.0,
Portugal,PRT,2020,,8.0,10298186.0,
Saudi Arabia,SAU,2020,,,35997108.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,65.0,33.0,47363808.0,
Sri Lanka,LKA,2020,,,21715076.0,
Thailand,THA,2020,,,71475664.0,
Ukraine,UKR,2020,,,43909664.0,
United Kingdom,GBR,2020,381.0,1615.0,67059472.0,
United States,USA,2020,960.0,1150.0,335942016.0,
Uzbekistan,UZB,2020,,12.0,33526662.0,
