Entity,Code,Year,Deaths in ongoing wars (low estimate) - Conflict type: civil war,Deaths in ongoing wars (low estimate) - Conflict type: others (non-civil)
Europe,,1800,0,2063
Europe,,1808,1760,27678
Europe,,1816,0,0
Europe,,1824,1000,0
Europe,,1832,0,0
Europe,,1840,0,0
Europe,,1848,8000,9134
Europe,,1856,0,36501
Europe,,1864,0,3600
Europe,,1872,0,0
Europe,,1880,0,0
Europe,,1888,0,0
Europe,,1896,0,0
Europe,,1904,0,0
Europe,,1912,0,36084
Europe,,1920,129112,23002
Europe,,1928,0,0
Europe,,1936,50075,0
Europe,,1944,0,3904276
Europe,,1952,0,0
Europe,,1960,0,0
Europe,,1968,0,0
Europe,,1976,0,0
Europe,,1984,0,0
Europe,,1992,16879,4666
Europe,,2000,0,0
Europe,,2011,0,0
