Entity,Code,Year,"Number of new cases of measles, in both sexes aged all ages",MCV2 (% of one-year-olds immunized),Population,Continent
World,OWID_WRL,2000,68909400.0,17.0,6148898816.0,
World,OWID_WRL,2001,66819212.0,20.0,6230747136.0,
World,OWID_WRL,2002,63205596.0,20.0,6312407552.0,
World,OWID_WRL,2003,59020868.0,21.0,6393898496.0,
World,OWID_WRL,2004,55310532.0,22.0,6475751424.0,
World,OWID_WRL,2005,53186224.0,33.0,6558176256.0,
World,OWID_WRL,2006,51060164.0,35.0,6641416192.0,
World,OWID_WRL,2007,47242960.0,35.0,6725948416.0,
World,OWID_WRL,2008,42813100.0,38.0,6811597312.0,
World,OWID_WRL,2009,38920630.0,40.0,6898306048.0,
World,OWID_WRL,2010,36779690.0,42.0,6985603072.0,
World,OWID_WRL,2011,34527804.0,48.0,7073125376.0,
World,OWID_WRL,2012,30408642.0,51.0,7161697792.0,
World,OWID_WRL,2013,25791234.0,56.0,7250593280.0,
World,OWID_WRL,2014,22010714.0,59.0,7339013632.0,
World,OWID_WRL,2015,20397378.0,63.0,7426597376.0,
World,OWID_WRL,2016,20053860.0,67.0,7513474048.0,
World,OWID_WRL,2018,17347620.0,70.0,7683789824.0,
World,OWID_WRL,2019,12806077.0,71.0,7764951040.0,
