Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: medium
Albania,ALB,1950,5.963,
Albania,ALB,1960,6.4547,
Albania,ALB,1980,3.6143,
Albania,ALB,2000,2.231,
Albania,ALB,2020,1.3996,
Albania,ALB,2040,,1.4369
Albania,ALB,2060,,1.4998
Albania,ALB,2080,,1.5473
Albania,ALB,2100,,1.5663
British Virgin Islands,VGB,1950,5.4802,
British Virgin Islands,VGB,1960,5.162,
British Virgin Islands,VGB,1980,2.933,
British Virgin Islands,VGB,2000,1.8656,
British Virgin Islands,VGB,2020,0.9762,
British Virgin Islands,VGB,2040,,1.1974
British Virgin Islands,VGB,2060,,1.347
British Virgin Islands,VGB,2080,,1.4289
British Virgin Islands,VGB,2100,,1.4808
Brunei,BRN,1950,6.862,
Brunei,BRN,1960,6.8358,
Brunei,BRN,1980,4.0671,
Brunei,BRN,2000,2.3463,
Brunei,BRN,2020,1.7962,
Brunei,BRN,2040,,1.675
Brunei,BRN,2060,,1.663
Brunei,BRN,2080,,1.6459
Brunei,BRN,2100,,1.6457
Cape Verde,CPV,1950,6.4971,
Cape Verde,CPV,1960,6.8846,
Cape Verde,CPV,1980,6.375,
Cape Verde,CPV,2000,3.5388,
Cape Verde,CPV,2020,1.9079,
Cape Verde,CPV,2040,,1.752
Cape Verde,CPV,2060,,1.7013
Cape Verde,CPV,2080,,1.6802
Cape Verde,CPV,2100,,1.682
Central African Republic,CAF,1950,5.7445,
Central African Republic,CAF,1960,5.8144,
Central African Republic,CAF,1980,6.1064,
Central African Republic,CAF,2000,5.9149,
Central African Republic,CAF,2020,5.9855,
Central African Republic,CAF,2040,,4.0348
Central African Republic,CAF,2060,,2.6367
Central African Republic,CAF,2080,,2.1307
Central African Republic,CAF,2100,,1.9565
Gibraltar,GIB,1950,2.4118,
Gibraltar,GIB,1960,3.0118,
Gibraltar,GIB,1980,2.7987,
Gibraltar,GIB,2000,1.9193,
Gibraltar,GIB,2020,1.8546,
Gibraltar,GIB,2040,,1.746
Gibraltar,GIB,2060,,1.7027
Gibraltar,GIB,2080,,1.6953
Gibraltar,GIB,2100,,1.683
Trinidad and Tobago,TTO,1950,5.2198,
Trinidad and Tobago,TTO,1960,5.3453,
Trinidad and Tobago,TTO,1980,3.2381,
Trinidad and Tobago,TTO,2000,1.7686,
Trinidad and Tobago,TTO,2020,1.6309,
Trinidad and Tobago,TTO,2040,,1.6034
Trinidad and Tobago,TTO,2060,,1.6053
Trinidad and Tobago,TTO,2080,,1.6251
Trinidad and Tobago,TTO,2100,,1.6419
