Entity,Code,Year,Gender wage gap (%),Population (historical estimates),Continent,Gender wage gap (%).1,Year.1
Argentina,ARG,2000,0.0,37070772.0,,0.0,2000.0
Argentina,ARG,2015,,43257064.0,South America,0.0,2000.0
Belize,BLZ,2000,,240420.0,,-9.35,1999.0
Belize,BLZ,2015,,359884.0,North America,-9.35,1999.0
Bolivia,BOL,2000,11.11,8592656.0,,11.11,2000.0
Bolivia,BOL,2015,,11090090.0,South America,11.11,2000.0
Brazil,BRA,2000,,175873712.0,,17.5,2001.0
Brazil,BRA,2015,,205188208.0,South America,17.5,2001.0
Costa Rica,CRI,2000,-1.31,3979189.0,,-1.31,2000.0
Costa Rica,CRI,2015,,4895241.0,North America,-1.31,2000.0
Ecuador,ECU,2000,,12626511.0,,6.25,2003.0
Ecuador,ECU,2015,,16195904.0,South America,6.25,2003.0
El Salvador,SLV,2000,8.15,5958482.0,,8.15,2000.0
El Salvador,SLV,2015,,6231072.0,North America,8.15,2000.0
Europe,,2000,,727917165.0,,,
Europe,,2015,,743294457.0,,,
Germany,DEU,2000,,81551680.0,,25.61,2002.0
Germany,DEU,2015,,82073232.0,Europe,25.61,2002.0
Greece,GRC,2000,,11038112.0,,25.47,2002.0
Greece,GRC,2015,,10806644.0,Europe,25.47,2002.0
Guatemala,GTM,2000,18.82,11735893.0,,18.82,2000.0
Guatemala,GTM,2015,,16001105.0,North America,18.82,2000.0
Honduras,HND,2000,,6656727.0,,4.83,2001.0
Honduras,HND,2015,,9294510.0,North America,4.83,2001.0
Ireland,IRL,2000,,3768954.0,,14.92,2002.0
Ireland,IRL,2015,,4665764.0,Europe,14.92,2002.0
Italy,ITA,2000,,56966400.0,,18.9,2002.0
Italy,ITA,2015,,60232908.0,Europe,18.9,2002.0
Mexico,MEX,2000,23.87,97873448.0,,23.87,2000.0
Mexico,MEX,2015,,120149896.0,North America,23.87,2000.0
Nicaragua,NIC,2000,,5123223.0,,2.96,2001.0
Nicaragua,NIC,2015,,6298610.0,North America,2.96,2001.0
North America,,2000,,486364446.0,,,
North America,,2015,,570726015.0,,,
Panama,PAN,2000,3.45,3001738.0,,3.45,2000.0
Panama,PAN,2015,,3957102.0,North America,3.45,2000.0
Paraguay,PRY,2015,-1.77,6177954.0,South America,8.99,2001.0
Paraguay,PRY,2000,,5123817.0,,8.99,2001.0
Portugal,PRT,2015,9.59,10365436.0,Europe,10.65,2007.0
Portugal,PRT,2000,,10300632.0,,10.65,2007.0
South America,,2000,,349634344.0,,,
South America,,2015,,413134461.0,,,
Spain,ESP,2015,12.5,46431344.0,Europe,20.22,2002.0
Spain,ESP,2000,,40741652.0,,20.22,2002.0
