Entity,Code,Year,Cumulative CO₂ emissions including land-use change
El Salvador,SLV,1960,59668252.0
El Salvador,SLV,1980,163895000.0
El Salvador,SLV,2000,293969600.0
El Salvador,SLV,2022,437861060.0
Eritrea,ERI,1940,4539408.0
Eritrea,ERI,2000,23486076.0
Eritrea,ERI,2022,102746296.0
Lithuania,LTU,1850,14998626.0
Lithuania,LTU,1860,76479016.0
Lithuania,LTU,1880,377944160.0
Lithuania,LTU,1900,702899700.0
Lithuania,LTU,1920,1018906400.0
Lithuania,LTU,1940,1385151900.0
Lithuania,LTU,1960,1763239700.0
Lithuania,LTU,1980,2418625800.0
Lithuania,LTU,2000,3090262500.0
Lithuania,LTU,2022,3346777600.0
North Korea,PRK,1920,155488830.0
North Korea,PRK,1940,622651600.0
North Korea,PRK,1960,1058062850.0
North Korea,PRK,1980,2699960000.0
North Korea,PRK,2000,5173975600.0
North Korea,PRK,2022,6588935700.0
Tanzania,TZA,1960,1346341400.0
Tanzania,TZA,1980,3532173300.0
Tanzania,TZA,2000,4899362300.0
Tanzania,TZA,2022,7669413000.0
