Entity,Code,Year,Domestic general government health expenditure (% of current health expenditure)
Haiti,HTI,2000,21.820131
Haiti,HTI,2005,17.650042
Haiti,HTI,2010,17.867178
Haiti,HTI,2015,11.051777
Haiti,HTI,2019,11.018371
Norway,NOR,2000,81.682495
Norway,NOR,2005,83.051155
Norway,NOR,2010,84.68054
Norway,NOR,2015,85.5146
Norway,NOR,2019,85.82006
Russia,RUS,2000,59.35673
Russia,RUS,2005,61.14412
Russia,RUS,2010,61.37907
Russia,RUS,2015,58.718525
Russia,RUS,2019,61.151917
Saint Kitts and Nevis,KNA,2000,41.922005
Saint Kitts and Nevis,KNA,2005,46.98353
Saint Kitts and Nevis,KNA,2010,37.588703
Saint Kitts and Nevis,KNA,2015,37.834316
Saint Kitts and Nevis,KNA,2019,49.255493
Tunisia,TUN,2000,52.669228
Tunisia,TUN,2005,50.820934
Tunisia,TUN,2010,55.75389
Tunisia,TUN,2015,53.994446
Tunisia,TUN,2019,57.142323
Uruguay,URY,2000,41.546303
Uruguay,URY,2005,45.176308
Uruguay,URY,2010,60.002113
Uruguay,URY,2015,68.4041
Uruguay,URY,2019,66.60055
Uzbekistan,UZB,2000,39.097992
Uzbekistan,UZB,2005,37.960632
Uzbekistan,UZB,2010,43.34156
Uzbekistan,UZB,2015,49.78011
Uzbekistan,UZB,2019,41.58654
