Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Afghanistan,AFG,2000,1450
Afghanistan,AFG,2002,1300
Afghanistan,AFG,2004,1180
Afghanistan,AFG,2006,1120
Afghanistan,AFG,2008,1030
Afghanistan,AFG,2010,954
Afghanistan,AFG,2012,858
Afghanistan,AFG,2014,786
Afghanistan,AFG,2016,673
Afghanistan,AFG,2017,638
Benin,BEN,2000,520
Benin,BEN,2002,511
Benin,BEN,2004,505
Benin,BEN,2006,493
Benin,BEN,2008,480
Benin,BEN,2010,464
Benin,BEN,2012,450
Benin,BEN,2014,432
Benin,BEN,2016,408
Benin,BEN,2017,397
Brazil,BRA,2000,69
Brazil,BRA,2002,69
Brazil,BRA,2004,71
Brazil,BRA,2006,72
Brazil,BRA,2008,70
Brazil,BRA,2010,65
Brazil,BRA,2012,60
Brazil,BRA,2014,62
Brazil,BRA,2016,62
Brazil,BRA,2017,60
Chad,TCD,2000,1420
Chad,TCD,2002,1400
Chad,TCD,2004,1350
Chad,TCD,2006,1340
Chad,TCD,2008,1310
Chad,TCD,2010,1240
Chad,TCD,2012,1190
Chad,TCD,2014,1170
Chad,TCD,2016,1140
Chad,TCD,2017,1140
Hungary,HUN,2000,16
Hungary,HUN,2002,16
Hungary,HUN,2004,15
Hungary,HUN,2006,14
Hungary,HUN,2008,14
Hungary,HUN,2010,13
Hungary,HUN,2012,12
Hungary,HUN,2014,12
Hungary,HUN,2016,12
Hungary,HUN,2017,12
Kenya,KEN,2000,708
Kenya,KEN,2002,692
Kenya,KEN,2004,653
Kenya,KEN,2006,583
Kenya,KEN,2008,513
Kenya,KEN,2010,432
Kenya,KEN,2012,373
Kenya,KEN,2014,358
Kenya,KEN,2016,346
Kenya,KEN,2017,342
