Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS
Australia,AUS,2000,85
Australia,AUS,2005,88
Australia,AUS,2010,78
Australia,AUS,2015,83
Australia,AUS,2023,87
Brazil,BRA,2000,45
Brazil,BRA,2005,67
Brazil,BRA,2010,67
Brazil,BRA,2020,41
Brazil,BRA,2023,50
Germany,DEU,2000,82
Germany,DEU,2005,84
Germany,DEU,2010,86
Germany,DEU,2015,88
Germany,DEU,2020,88
Germany,DEU,2023,88
Iceland,ISL,2000,33
Iceland,ISL,2005,33
Iceland,ISL,2010,33
Iceland,ISL,2015,33
Iceland,ISL,2020,17
Iceland,ISL,2023,17
Slovenia,SVN,2000,25
Slovenia,SVN,2005,83
Slovenia,SVN,2010,88
Slovenia,SVN,2015,96
Slovenia,SVN,2020,97
Slovenia,SVN,2023,96
Thailand,THA,2000,20
Thailand,THA,2005,8
Thailand,THA,2010,6
Thailand,THA,2015,13
Thailand,THA,2020,13
Thailand,THA,2023,13
United Kingdom,GBR,2000,87
United Kingdom,GBR,2005,88
United Kingdom,GBR,2010,91
United Kingdom,GBR,2015,87
United Kingdom,GBR,2020,88
United Kingdom,GBR,2023,88
United States,USA,2000,85
United States,USA,2005,93
United States,USA,2010,96
United States,USA,2015,92
United States,USA,2020,89
United States,USA,2023,93
