Entity,Code,Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) 
Austria,AUT,1940,5.0
Austria,AUT,1960,4.800000190734863
Austria,AUT,1980,7.099999904632568
Austria,AUT,2000,6.5
Croatia,HRV,2000,6.400000095367432
France,FRA,1875,0.1000000014901161
France,FRA,1900,0.2000000029802322
France,FRA,1940,1.700000047683716
France,FRA,1960,5.0
France,FRA,1980,6.099999904632568
France,FRA,2000,5.099999904632568
Germany,DEU,1960,5.099999904632568
Germany,DEU,1980,7.5
Germany,DEU,2000,6.099999904632568
Germany,DEU,2015,4.199999809265137
Japan,JPN,1920,1.600000023841858
Japan,JPN,1940,3.099999904632568
Japan,JPN,1960,5.099999904632568
Japan,JPN,1980,9.399999618530272
Japan,JPN,2000,8.300000190734863
Japan,JPN,2015,4.599999904632568
Spain,ESP,1920,1.0
Spain,ESP,1940,1.0
Spain,ESP,1960,4.199999809265137
Spain,ESP,1980,7.0
Spain,ESP,2000,7.099999904632568
Switzerland,CHE,1940,1.899999976158142
Switzerland,CHE,1960,6.599999904632568
Switzerland,CHE,1980,8.300000190734863
Switzerland,CHE,2000,6.699999809265137
United States,USA,1900,0.1000000014901161
United States,USA,1920,1.700000047683716
United States,USA,1940,6.5
United States,USA,1960,10.69999980926514
United States,USA,1980,9.899999618530272
United States,USA,2000,5.400000095367432
