Entity,Code,Year,freeassoc_vdem_owid,freeassoc_vdem_high_owid,freeassoc_vdem_low_owid
Argentina,ARG,1789,0.381,0.526,0.243
Argentina,ARG,1850,0.496,0.659,0.39
Argentina,ARG,1900,0.623,0.725,0.48
Argentina,ARG,1950,0.621,0.723,0.497
Argentina,ARG,2000,0.92,0.959,0.869
Argentina,ARG,2022,0.911,0.95,0.851
Australia,AUS,1789,0.611,0.715,0.482
Australia,AUS,1850,0.861,0.919,0.782
Australia,AUS,1900,0.879,0.939,0.81
Australia,AUS,1950,0.861,0.915,0.778
Australia,AUS,2000,0.903,0.939,0.826
Australia,AUS,2022,0.895,0.938,0.827
Botswana,BWA,1900,0.083,0.144,0.044
Botswana,BWA,1950,0.108,0.173,0.059
Botswana,BWA,2000,0.895,0.939,0.821
Botswana,BWA,2022,0.853,0.918,0.779
China,CHN,1789,0.114,0.181,0.061
China,CHN,1850,0.11,0.182,0.06
China,CHN,1900,0.111,0.182,0.068
China,CHN,1950,0.045,0.077,0.025
China,CHN,2000,0.066,0.11,0.04
China,CHN,2022,0.044,0.079,0.024
