Entity,Code,Year,Deaths averted due to antiretroviral therapy - Disaggregation: estimate
Bahamas,BHS,2000,-1
Bahamas,BHS,2005,162
Bahamas,BHS,2010,186
Bahamas,BHS,2015,131
Bahamas,BHS,1990,0
Bahamas,BHS,1995,0
Cuba,CUB,1990,0
Cuba,CUB,1995,0
Cuba,CUB,2000,7
Cuba,CUB,2005,301
Cuba,CUB,2010,729
Cuba,CUB,2015,1211
Cuba,CUB,2020,1571
Cuba,CUB,2022,1532
Fiji,FJI,1990,0
Fiji,FJI,1995,0
Fiji,FJI,2000,0
Fiji,FJI,2005,4
Fiji,FJI,2010,13
Fiji,FJI,2015,25
Fiji,FJI,2020,45
Fiji,FJI,2022,58
Guyana,GUY,1990,0
Guyana,GUY,1995,0
Guyana,GUY,2000,0
Guyana,GUY,2005,143
Guyana,GUY,2010,361
Guyana,GUY,2015,453
Guyana,GUY,2020,495
Guyana,GUY,2022,503
"Kenya, Nyanza",,2010,22082
"Kenya, Nyanza",,2015,25611
"Kenya, Nyanza",,2020,29133
"Kenya, Nyanza",,2022,29313
