Entity,Code,Year,Sex:Women - Age:15 to 64 - Series:Labour force participation rate - LFS_SEXAGE_I_R
Canada,CAN,2000,70.3708041736211
Canada,CAN,2002,72.096384882374
Canada,CAN,2004,73.4045315199958
Canada,CAN,2006,73.3413079749351
Canada,CAN,2008,74.1696204505537
Canada,CAN,2010,74.2559743892602
Canada,CAN,2012,74.3034487772639
Canada,CAN,2014,74.2240779782285
Canada,CAN,2016,74.4327842923613
France,FRA,2000,61.6860431549153
France,FRA,2002,62.1275735993746
France,FRA,2004,64.2583993972321
France,FRA,2006,64.5183084219463
France,FRA,2008,65.1842353346036
France,FRA,2010,65.7928676635111
France,FRA,2012,66.3216640955114
France,FRA,2014,67.4451001861202
France,FRA,2016,67.9212683432948
Germany,DEU,2000,63.2785324594486
Germany,DEU,2002,64.2342739564962
Germany,DEU,2004,65.806140968184
Germany,DEU,2006,68.5142075896981
Germany,DEU,2008,69.7140090861696
Germany,DEU,2010,70.8190805548246
Germany,DEU,2012,71.8580279966343
Germany,DEU,2014,72.9063287273838
Germany,DEU,2016,73.6366323096718
Spain,ESP,2000,52.877951456602
Spain,ESP,2002,54.6749147789429
Spain,ESP,2004,58.2161708734491
Spain,ESP,2006,61.5552539680191
Spain,ESP,2008,64.5158978551643
Spain,ESP,2010,67.1432620172911
Spain,ESP,2012,69.2647170949104
Spain,ESP,2014,69.7659655376651
Spain,ESP,2016,70.2011004191386
United Kingdom,GBR,2000,68.8822557432973
United Kingdom,GBR,2002,69.3982092178293
United Kingdom,GBR,2004,69.4763971890962
United Kingdom,GBR,2006,70.3516727433654
United Kingdom,GBR,2008,70.2085891184641
United Kingdom,GBR,2010,70.1515501327218
United Kingdom,GBR,2012,70.9262090974187
United Kingdom,GBR,2014,72.1499818656667
United Kingdom,GBR,2016,73.0299630504342
United States,USA,2000,70.7149358981389
United States,USA,2002,70.0553479857401
United States,USA,2004,69.1680073546311
United States,USA,2006,69.2991872412207
United States,USA,2008,69.2963945496202
United States,USA,2010,68.3942453757484
United States,USA,2012,67.580224990975
United States,USA,2014,67.1165715503793
United States,USA,2016,67.306826993959
