Entity,Code,Year,9.3.1 - Proportion of small-scale manufacturing industries in total manufacturing value added (%) - NV_IND_SSIS - Manufacturing
Austria,AUT,2005,10.45
Austria,AUT,2006,10.19
Austria,AUT,2008,8.64
Austria,AUT,2010,8.75
Austria,AUT,2012,8.35
Austria,AUT,2014,8.54
Austria,AUT,2016,7.91
Austria,AUT,2018,7.35
Austria,AUT,2020,7.64
Brazil,BRA,2008,0.54
Brazil,BRA,2010,0.56
Brazil,BRA,2012,0.64
Brazil,BRA,2014,0.6
Brazil,BRA,2016,0.67
Brazil,BRA,2018,0.67
Brazil,BRA,2020,0.54
India,IND,2010,3.07
India,IND,2012,2.85
India,IND,2014,2.64
India,IND,2016,2.12
Indonesia,IDN,2010,11.0
Indonesia,IDN,2012,10.26
Indonesia,IDN,2014,10.68
Japan,JPN,2012,9.61
Japan,JPN,2014,8.69
Japan,JPN,2016,7.97
Japan,JPN,2018,7.43
Pakistan,PAK,2016,6.18
Portugal,PRT,2005,18.28
Portugal,PRT,2006,17.87
Portugal,PRT,2008,19.31
Portugal,PRT,2010,19.11
Portugal,PRT,2012,18.61
Portugal,PRT,2014,19.34
Portugal,PRT,2016,18.49
Portugal,PRT,2018,17.72
Portugal,PRT,2020,17.57
Spain,ESP,2005,18.41
Spain,ESP,2006,17.59
Spain,ESP,2008,20.31
Spain,ESP,2010,18.74
Spain,ESP,2012,18.12
Spain,ESP,2014,16.57
Spain,ESP,2016,14.23
Spain,ESP,2018,13.53
Spain,ESP,2020,13.7
United States,USA,2016,4.76
