Entity,Code,Year,"Number of new cases of tetanus per 100,000 people, in both sexes aged all ages",DTP3 (% of one-year-olds immunized),Continent
Afghanistan,AFG,2019,2.8625543,72.0,
Albania,ALB,2019,0.02802089,99.0,
Andorra,AND,2019,0.122515336,99.0,
Angola,AGO,2019,0.84819984,57.0,
Argentina,ARG,2019,0.067763075,83.0,
Armenia,ARM,2019,0.010206863,92.0,
Austria,AUT,2019,0.03381737,85.0,
Bangladesh,BGD,2019,0.652841,98.0,
Barbados,BRB,2019,0.38293955,90.0,
Belarus,BLR,2019,0.0020200852,98.0,
Belize,BLZ,2019,0.052931543,98.0,
Benin,BEN,2019,1.78563,76.0,
Bolivia,BOL,2019,0.21451011,75.0,
Brazil,BRA,2019,0.08419966,70.0,
Burkina Faso,BFA,2019,2.154269,91.0,
Cameroon,CMR,2019,0.71983117,67.0,
Canada,CAN,2019,0.003926304,91.0,
Central African Republic,CAF,2019,3.7668521,42.0,
Chad,TCD,2019,7.781607,50.0,
Comoros,COM,2019,1.0718874,91.0,
Congo,COG,2019,0.3571329,79.0,
Cote d'Ivoire,CIV,2019,1.1749486,81.0,
Cuba,CUB,2019,0.0070213866,99.0,
Ecuador,ECU,2019,0.09806871,85.0,
Egypt,EGY,2019,0.21478091,95.0,
Equatorial Guinea,GNQ,2019,0.27440283,53.0,
Ethiopia,ETH,2019,1.7251582,68.0,
Gabon,GAB,2019,0.18021642,70.0,
Georgia,GEO,2019,0.018016962,94.0,
Haiti,HTI,2019,2.4050212,51.0,
Indonesia,IDN,2019,3.3015203,85.0,
Kenya,KEN,2019,7.834658,91.0,
Kuwait,KWT,2019,0.00091939844,92.0,
Laos,LAO,2019,3.2208323,80.0,
Lebanon,LBN,2019,0.72372913,83.0,
Libya,LBY,2019,0.03215968,73.0,
Mexico,MEX,2019,0.021108631,82.0,
Monaco,MCO,2019,0.07751751,99.0,
Papua New Guinea,PNG,2019,0.18699312,35.0,
Somalia,SOM,2019,20.360928,42.0,
Syria,SYR,2019,0.057714827,54.0,
