Entity,Code,Year,Social Expenditure %GDP - (OWID extrapolated series)
Austria,AUT,1880,0.0
Austria,AUT,1900,0.0
Austria,AUT,1920,0.0
Austria,AUT,1960,14.99186298
Austria,AUT,1980,21.959
Austria,AUT,2000,25.487
Austria,AUT,2016,27.786
Canada,CAN,1880,0.0
Canada,CAN,1900,0.0
Canada,CAN,1920,0.06
Canada,CAN,1960,8.117736532
Canada,CAN,1980,13.306
Canada,CAN,2000,15.763
Chile,CHL,2000,12.737
Czechia,CZE,2000,17.962
Czechia,CZE,2016,19.437
Germany,DEU,1880,0.5
Germany,DEU,1900,0.59
Germany,DEU,1960,15.36900429
Germany,DEU,1980,21.788
Germany,DEU,2000,25.405
Germany,DEU,2016,25.289
Iceland,ISL,2000,14.631
Iceland,ISL,2016,15.214
Ireland,IRL,1960,7.09439486
Ireland,IRL,1980,15.657
Ireland,IRL,2000,12.567
Ireland,IRL,2016,16.105
Italy,ITA,1880,0.0
Italy,ITA,1900,0.0
Italy,ITA,1920,0.0
Italy,ITA,1960,10.71713342
Italy,ITA,1980,17.379
Italy,ITA,2000,22.637
Italy,ITA,2016,28.871
Latvia,LVA,2000,14.841
Latvia,LVA,2016,14.46
Turkey,TUR,1980,3.968
Turkey,TUR,2000,7.72
United States,USA,1880,0.29
United States,USA,1900,0.55
United States,USA,1920,0.7
United States,USA,1960,6.20326758
United States,USA,1980,12.836
United States,USA,2000,14.25
United States,USA,2016,19.321
