Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Neoplasms - Sex: Both - Age: Age-standardized (Rate)
Australia,AUS,1990,3933.63
Australia,AUS,1995,3796.03
Australia,AUS,2000,3489.98
Australia,AUS,2005,3211.24
Australia,AUS,2010,3091.94
Australia,AUS,2015,2936.47
Australia,AUS,2019,2884.53
Brazil,BRA,1990,3437.73
Brazil,BRA,1995,3386.38
Brazil,BRA,2000,3386.53
Brazil,BRA,2005,3263.28
Brazil,BRA,2010,3160.61
Brazil,BRA,2015,2994.69
Brazil,BRA,2019,2880.81
Canada,CAN,1990,4070.45
Canada,CAN,1995,3936.37
Canada,CAN,2000,3682.0
Canada,CAN,2005,3493.74
Canada,CAN,2010,3247.93
Canada,CAN,2015,3074.86
Canada,CAN,2019,3089.47
Japan,JPN,1990,3458.67
Japan,JPN,1995,3430.28
Japan,JPN,2000,3257.41
Japan,JPN,2005,3048.65
Japan,JPN,2010,2848.79
Japan,JPN,2015,2618.3
Japan,JPN,2019,2503.64
United States,USA,1990,4242.62
United States,USA,1995,4167.75
United States,USA,2000,3888.18
United States,USA,2005,3612.33
United States,USA,2010,3363.07
United States,USA,2015,3220.62
United States,USA,2019,3229.36
World,OWID_WRL,1990,3823.96
World,OWID_WRL,1995,3792.73
World,OWID_WRL,2000,3649.28
World,OWID_WRL,2005,3469.68
World,OWID_WRL,2010,3276.23
World,OWID_WRL,2015,3112.35
World,OWID_WRL,2019,3062.36
