Entity,Code,Year,Share of the population practicing open defecation
East Timor,TLS,2005,37.584175
East Timor,TLS,2010,29.274158
East Timor,TLS,2015,21.073044
East Timor,TLS,2020,12.987261
East Timor,TLS,2022,10.364942
Kyrgyzstan,KGZ,2000,0.108195305
Kyrgyzstan,KGZ,2005,0.07937384
Kyrgyzstan,KGZ,2010,0.043368556
Kyrgyzstan,KGZ,2015,0.010127808
Kyrgyzstan,KGZ,2020,0.0
Kyrgyzstan,KGZ,2022,0.0
Liechtenstein,LIE,2000,0.0
Liechtenstein,LIE,2005,0.0
Liechtenstein,LIE,2010,0.0
Liechtenstein,LIE,2015,0.0
Liechtenstein,LIE,2020,0.0
Liechtenstein,LIE,2022,0.0
Monaco,MCO,2000,0.0
Monaco,MCO,2005,0.0
Monaco,MCO,2010,0.0
Monaco,MCO,2015,0.0
Monaco,MCO,2020,0.0
Monaco,MCO,2022,0.0
Oceania (SDG),,2000,12.427004
Oceania (SDG),,2005,12.654771
Oceania (SDG),,2010,13.256333
Oceania (SDG),,2015,13.943537
Oceania (SDG),,2020,15.028293
Oceania (SDG),,2022,13.456977
