Entity,Code,Year,"Domestic general government health expenditure per capita, PPP (current international $)",Tax revenues per capita (current international $),Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,1371.2396,2437.06,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,3795.1777,12130.5,25357168.0,
Austria,AUT,2019,4478.3896,14857.2,8879939.0,
Belgium,BEL,2019,4489.0684,12278.49,11510569.0,
Bulgaria,BGR,2019,1063.3301,4997.87,7052536.0,
Cameroon,CMR,2019,4.5703583,470.91,25782342.0,
Canada,CAN,2019,3873.7014,6293.48,37522584.0,
China,CHN,2019,492.72263,1414.24,1421864064.0,
Cyprus,CYP,2019,1689.8594,9952.17,1228840.0,
Denmark,DNK,2019,5010.2563,20363.26,5795879.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,3776.039,10400.7,5521539.0,
Georgia,GEO,2019,395.993,3611.36,3770814.0,
Germany,DEU,2019,5237.684,6350.62,83148144.0,
Greece,GRC,2019,1164.0641,7947.21,10574026.0,
Hungary,HUN,2019,1465.6353,7496.76,9771799.0,
Indonesia,IDN,2019,175.33492,1205.17,269582880.0,
Iraq,IRQ,2019,238.6266,144.33,41563524.0,
Italy,ITA,2019,2955.3032,10906.2,59727936.0,
Lithuania,LTU,2019,1820.4172,7703.04,2849083.0,
Luxembourg,LUX,2019,5802.1304,31070.13,619981.0,
Malta,MLT,2019,2549.0996,11663.39,503646.0,
New Zealand,NZL,2019,3354.4243,12797.35,4959033.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,6193.966,15698.86,5348285.0,
Oceania,,2019,,,43278474.0,
Panama,PAN,2019,1646.8558,2961.76,4232538.0,
Poland,POL,2019,1575.1353,5847.32,38493600.0,
Russia,RUS,2019,1042.0529,3288.93,145742288.0,
Saudi Arabia,SAU,2019,1929.6661,3421.2,35827364.0,
Singapore,SGP,2019,2059.4233,13522.11,5866408.0,
South Africa,ZAF,2019,697.6749,3597.44,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,2096.1924,6535.57,51803832.0,
Spain,ESP,2019,2813.433,5732.51,47131372.0,
Sweden,SWE,2019,5282.083,14967.0,10267922.0,
Switzerland,CHE,2019,2739.7405,7136.52,8575593.0,
United Kingdom,GBR,2019,4042.8416,12318.01,66778660.0,
United States,USA,2019,5552.6,6526.81,334319680.0,
