Entity,Code,Year,Cashew nuts | 00000217 || Yield | 005419 || tonnes per hectare
Lower-middle-income countries,,1961,0.49541312
Lower-middle-income countries,,1970,0.48443595
Lower-middle-income countries,,1980,0.37601504
Lower-middle-income countries,,1990,0.6215745
Lower-middle-income countries,,2000,0.6562105
Lower-middle-income countries,,2010,0.6626459
Lower-middle-income countries,,2021,0.5494031
Mali,MLI,1980,0.39999998
Mali,MLI,2000,1.3709999
Mali,MLI,2010,1.7213999
Mali,MLI,2021,1.5088999
North America,,1961,1.3
North America,,1970,1.2214634
North America,,1980,1.1036724
North America,,1990,0.5365631
North America,,2000,0.5761775
North America,,2010,0.74639
North America,,2021,0.5916235
Philippines,PHL,1970,1.4352
Philippines,PHL,1980,0.9738
Philippines,PHL,1990,3.8084998
Philippines,PHL,2000,3.9677
Philippines,PHL,2010,4.7904997
Philippines,PHL,2021,8.6317
