Entity,Code,Year,"Government expenditure on education, total (% of GDP)",Government expenditure on primary education as % of GDP (%),Continent
Albania,ALB,2019,3.91624,,
Andorra,AND,2019,3.15061,0.67913,
Argentina,ARG,2019,4.7776,,
Armenia,ARM,2019,2.5719123,,
Austria,AUT,2019,5.2175,,
Bahrain,BHR,2019,2.3846045,,
Barbados,BRB,2019,4.11123,,
Belgium,BEL,2019,6.33397,,
Belize,BLZ,2019,5.90775,,
Benin,BEN,2019,3.002736,,
Bermuda,BMU,2019,1.9267982,,
Bhutan,BTN,2019,4.7613525,,
Bulgaria,BGR,2019,4.19715,,
Cambodia,KHM,2019,2.8256547,,
Canada,CAN,2019,4.77293,,
Chad,TCD,2019,2.372458,,
Costa Rica,CRI,2019,6.73808,2.09278,
Croatia,HRV,2019,3.95437,,
Denmark,DNK,2019,6.9097,,
East Timor,TLS,2019,4.1765623,,
Eswatini,SWZ,2019,5.699148,,
Ethiopia,ETH,2019,4.4808693,,
Germany,DEU,2019,5.11677,,
Greece,GRC,2019,3.58606,,
Guatemala,GTM,2019,3.19297,1.83717,
Iceland,ISL,2019,7.60675,,
Japan,JPN,2019,3.15534,,
Kazakhstan,KAZ,2019,2.85697,,
Lesotho,LSO,2019,7.194069,,
Moldova,MDA,2019,6.22577,,
Monaco,MCO,2019,1.1589,,
Mongolia,MNG,2019,3.6523697,,
Myanmar,MMR,2019,2.13987,0.7019,
Namibia,NAM,2019,9.322532,,
Norway,NOR,2019,7.86456,,
Romania,ROU,2019,3.56695,,
Sierra Leone,SLE,2019,7.44701,2.99333,
Togo,TGO,2019,4.2016683,,
Uganda,UGA,2019,2.3082807,,
Zambia,ZMB,2019,4.41824,,
