Entity,Code,Year,"6.a.1 - Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_WASHL"
Gabon,GAB,2000,120000.0
Gabon,GAB,2005,190000.0
Gabon,GAB,2010,8790000.0
Gabon,GAB,2015,6880000.0
Gabon,GAB,2021,2040000.0
Nigeria,NGA,2000,55860000.0
Nigeria,NGA,2005,43750000.0
Nigeria,NGA,2010,117270000.0
Nigeria,NGA,2015,220280000.0
Nigeria,NGA,2021,110350000.0
Palestine,PSE,2000,142440000.0
Palestine,PSE,2005,54950000.0
Palestine,PSE,2010,138760000.0
Palestine,PSE,2015,130800000.0
Palestine,PSE,2021,84400000.0
Senegal,SEN,2000,27790000.0
Senegal,SEN,2005,68740000.0
Senegal,SEN,2010,69890000.0
Senegal,SEN,2015,126920000.0
Senegal,SEN,2021,83240000.0
