Entity,Code,Year,Battery-electric as a share of electric cars sold
China,CHN,2012,97.36308
China,CHN,2014,67.12329
China,CHN,2016,76.69617
China,CHN,2018,75.229355
China,CHN,2020,80.70175
China,CHN,2022,74.57627
Norway,NOR,2012,92.41706
Norway,NOR,2014,92.1659
Norway,NOR,2016,53.333332
Norway,NOR,2018,63.0137
Norway,NOR,2020,72.64151
Norway,NOR,2022,90.36144
Sweden,SWE,2012,29.032259
Sweden,SWE,2014,26.086956
Sweden,SWE,2016,22.48062
Sweden,SWE,2018,24.398626
Sweden,SWE,2020,29.787233
Sweden,SWE,2022,58.895706
United Kingdom,GBR,2012,62.25681
United Kingdom,GBR,2014,46.206898
United Kingdom,GBR,2016,25.641026
United Kingdom,GBR,2018,25.806452
United Kingdom,GBR,2020,61.797752
United Kingdom,GBR,2022,72.97298
World,OWID_WRL,2012,49.152542
World,OWID_WRL,2014,60.60606
World,OWID_WRL,2016,61.333332
World,OWID_WRL,2018,68.29269
World,OWID_WRL,2020,67.340065
World,OWID_WRL,2022,71.56863
