Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate)
Afghanistan,AFG,1990,86375.17
Afghanistan,AFG,1995,82236.13
Afghanistan,AFG,2000,82453.65
Afghanistan,AFG,2005,71629.72
Afghanistan,AFG,2010,63174.69
Afghanistan,AFG,2015,59166.96
Afghanistan,AFG,2019,55424.65
Antigua and Barbuda,ATG,1990,29131.3
Antigua and Barbuda,ATG,1995,30208.56
Antigua and Barbuda,ATG,2000,28191.66
Antigua and Barbuda,ATG,2005,26657.81
Antigua and Barbuda,ATG,2010,26269.3
Antigua and Barbuda,ATG,2015,26132.49
Antigua and Barbuda,ATG,2019,25727.92
Bangladesh,BGD,1990,67634.75
Bangladesh,BGD,1995,57156.33
Bangladesh,BGD,2000,49291.08
Bangladesh,BGD,2005,44452.83
Bangladesh,BGD,2010,38728.63
Bangladesh,BGD,2015,32683.78
Bangladesh,BGD,2019,30475.26
Belgium,BEL,1990,26249.82
Belgium,BEL,1995,25072.11
Belgium,BEL,2000,23915.75
Belgium,BEL,2005,22606.97
Belgium,BEL,2010,21711.41
Belgium,BEL,2015,20545.94
Belgium,BEL,2019,20170.42
Brazil,BRA,1990,45962.15
Brazil,BRA,1995,41727.34
Brazil,BRA,2000,38131.24
Brazil,BRA,2005,35395.81
Brazil,BRA,2010,33067.23
Brazil,BRA,2015,30873.99
Brazil,BRA,2019,29427.39
