Entity,Code,Year,"Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) "
Brazil,BRA,1990,0.0
Brazil,BRA,2000,8.26
Brazil,BRA,2010,24.21
Brazil,BRA,2015,28.31
Finland,FIN,1970,35.1
Finland,FIN,1980,11.69
Finland,FIN,1990,43.18
Finland,FIN,2000,77.7
Finland,FIN,2010,81.31
Finland,FIN,2015,79.23
Hong Kong,HKG,1980,66.16
Hong Kong,HKG,1990,72.87
Hong Kong,HKG,2000,93.52
Hong Kong,HKG,2010,92.41
Hong Kong,HKG,2015,95.23
Japan,JPN,1970,81.47
Japan,JPN,1980,84.05
Japan,JPN,1990,88.6
Japan,JPN,2000,91.78
Japan,JPN,2010,91.02
Japan,JPN,2015,93.15
Jordan,JOR,1990,0.0
Jordan,JOR,2000,35.87
Jordan,JOR,2010,40.83
Jordan,JOR,2015,26.07
Peru,PER,2000,5.92
Peru,PER,2010,22.73
Peru,PER,2015,30.54
Singapore,SGP,1990,93.16
Singapore,SGP,2000,93.75
Singapore,SGP,2010,93.44
Singapore,SGP,2015,94.83
Spain,ESP,1990,64.17
Spain,ESP,2000,55.72
Spain,ESP,2010,63.85
Spain,ESP,2015,69.76
United Kingdom,GBR,1990,70.39
United Kingdom,GBR,2000,75.2
United Kingdom,GBR,2010,69.52
United Kingdom,GBR,2015,69.98
