Entity,Code,Year,New bacteriologically confirmed pulmonary tuberculosis cases tested for rifampicin resistance,New bacteriologically confirmed pulmonary tuberculosis cases with rifampicin resistance
Croatia,HRV,2017,159.0,0.0
Croatia,HRV,2018,225.0,1.0
Croatia,HRV,2019,1.0,0.0
Croatia,HRV,2020,0.0,0.0
Croatia,HRV,2021,62.0,0.0
Croatia,HRV,2022,119.0,1.0
Cuba,CUB,2017,290.0,2.0
Cuba,CUB,2018,340.0,4.0
Cuba,CUB,2019,319.0,7.0
Cuba,CUB,2020,190.0,2.0
Cuba,CUB,2021,133.0,1.0
Cuba,CUB,2022,215.0,2.0
Ecuador,ECU,2019,1113.0,59.0
Ecuador,ECU,2020,2900.0,95.0
Ecuador,ECU,2021,4406.0,427.0
Ecuador,ECU,2022,5815.0,490.0
Eritrea,ERI,2018,347.0,13.0
Eritrea,ERI,2019,686.0,16.0
Eritrea,ERI,2020,660.0,20.0
Eritrea,ERI,2021,622.0,23.0
Eritrea,ERI,2022,700.0,16.0
