Entity,Code,Year,"Prevalence of underweight, weight for age (% of children under 5)",$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,22.6,,165516224.0,
Benin,BEN,2019,,,12290443.0,
Bolivia,BOL,2019,,1.9205352,11777318.0,
Cameroon,CMR,2019,,,25782342.0,
Central African Republic,CAF,2019,20.5,,5209329.0,
Chad,TCD,2019,29.2,,16126868.0,
Cote d'Ivoire,CIV,2019,,,26147544.0,
Egypt,EGY,2019,,1.4670148,105618672.0,
Eswatini,SWZ,2019,,,1169620.0,
Ethiopia,ETH,2019,21.2,,114120592.0,
Europe,,2019,,,747418251.0,
Gambia,GMB,2019,,,2508882.0,
Ghana,GHA,2019,,,31522294.0,
Guatemala,GTM,2019,,,17106338.0,
Guinea,GIN,2019,,,12877537.0,
Guinea-Bissau,GNB,2019,18.8,,1970460.0,
Honduras,HND,2019,7.1,12.742991,9958832.0,
India,IND,2019,,12.731296,1383112064.0,
Indonesia,IDN,2019,,4.380574,269582880.0,
Kenya,KEN,2019,,,50951452.0,
Laos,LAO,2019,,,7212058.0,
Malawi,MWI,2019,9.0,70.0606,18867340.0,
Maldives,MDV,2019,,0.0,504518.0,
Mali,MLI,2019,18.1,,20567430.0,
Mexico,MEX,2019,4.7,,125085312.0,
Mozambique,MOZ,2019,,74.38077,30285602.0,
Niger,NER,2019,31.3,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,,223293280.0,
Peru,PER,2019,2.4,2.9952693,32824864.0,
Rwanda,RWA,2019,,,12835029.0,
Senegal,SEN,2019,14.4,,16000783.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,,0.95861256,21649664.0,
Tajikistan,TJK,2019,,,9337008.0,
Tanzania,TZA,2019,,,59872584.0,
Uganda,UGA,2019,,42.20773,42949076.0,
United States,USA,2019,,0.99917054,334319680.0,
Vietnam,VNM,2019,12.2,,95776712.0,
Zimbabwe,ZWE,2019,9.7,39.75453,15354606.0,
