Entity,Code,Year,Reported number of people requiring interventions against NTDs
Iraq,IRQ,2010,3203400.0
Iraq,IRQ,2012,3574492.0
Iraq,IRQ,2014,2040539.0
Iraq,IRQ,2016,2170486.0
Iraq,IRQ,2018,2170486.0
Iraq,IRQ,2020,2170486.0
Iraq,IRQ,2021,2170486.0
Ireland,IRL,2010,1.0
Ireland,IRL,2012,5.0
Ireland,IRL,2014,14.0
Ireland,IRL,2016,20.0
Ireland,IRL,2018,0.0
Ireland,IRL,2020,1.0
Ireland,IRL,2021,1.0
Tajikistan,TJK,2010,105377.0
Tajikistan,TJK,2012,104685.0
Tajikistan,TJK,2014,120476.0
Tajikistan,TJK,2016,125863.0
Tajikistan,TJK,2018,3230054.0
Tajikistan,TJK,2020,3375143.0
Tajikistan,TJK,2021,3375143.0
Tuvalu,TUV,2010,9777.0
Tuvalu,TUV,2012,10513.0
Tuvalu,TUV,2014,11772.0
Tuvalu,TUV,2016,10782.0
Tuvalu,TUV,2018,12052.0
Tuvalu,TUV,2020,11500.0
Tuvalu,TUV,2021,11500.0
