Entity,Code,Year,Share of global methane emissions
China,CHN,1850,20.352064
China,CHN,1860,17.536295
China,CHN,1880,14.626938
China,CHN,1900,12.808334
China,CHN,1920,12.451021
China,CHN,1940,10.734118
China,CHN,1960,11.078173
China,CHN,1980,11.457783
China,CHN,2000,13.409235
China,CHN,2021,16.91678
European Union (28),,1850,24.131454
European Union (28),,1860,24.306826
European Union (28),,1880,24.942762
European Union (28),,1900,24.398268
European Union (28),,1920,21.510351
European Union (28),,1940,18.410381
European Union (28),,1960,16.153313
European Union (28),,1980,14.022115
European Union (28),,2000,9.21884
European Union (28),,2021,5.376639
India,IND,1850,16.403334
India,IND,1860,16.04574
India,IND,1880,14.528736
India,IND,1900,13.033205
India,IND,1920,10.458654
India,IND,1940,10.5121975
India,IND,1960,9.3385315
India,IND,1980,8.320272
India,IND,2000,9.203865
India,IND,2021,8.727964
United States,USA,1850,5.629534
United States,USA,1860,7.0139914
United States,USA,1880,8.929297
United States,USA,1900,10.7266445
United States,USA,1920,14.663105
United States,USA,1940,12.392573
United States,USA,1960,12.941318
United States,USA,1980,12.02682
United States,USA,2000,9.174607
United States,USA,2021,6.3691907
