Entity,Code,Year,Deaths - Cause: Poisonings - Sex: Both sexes - Age group: ALLAges
Australia,AUS,2000,71.65
Australia,AUS,2005,54.95
Australia,AUS,2010,33.7
Australia,AUS,2015,34.87
Australia,AUS,2019,34.72
Liberia,LBR,2000,68.9
Liberia,LBR,2005,81.88
Liberia,LBR,2010,79.45
Liberia,LBR,2015,78.73
Liberia,LBR,2019,81.79
Montenegro,MNE,2000,5.28
Montenegro,MNE,2005,4.4
Montenegro,MNE,2010,3.74
Montenegro,MNE,2015,3.87
Montenegro,MNE,2019,3.79
South Sudan,SSD,2000,176.53
South Sudan,SSD,2005,210.24
South Sudan,SSD,2010,217.76
South Sudan,SSD,2015,217.21
South Sudan,SSD,2019,259.04
