Entity,Code,Year,"8.3.1 - Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 13th ICLS (%) - SL_ISV_IFEM - Non-agriculture - Male","8.3.1 - Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%) - SL_ISV_IFEM_19ICLS - Non-agriculture - Female",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Armenia,ARM,2021,,,2790971.0,
Asia,,2021,,,4693332132.0,
Botswana,BWA,2021,,,2588424.0,
Brazil,BRA,2021,36.32,33.87,214326224.0,
Czechia,CZE,2021,20.35,11.44,10510748.0,
Denmark,DNK,2021,,,5854246.0,
Dominican Republic,DOM,2021,56.88,51.67,11117873.0,
Europe,,2021,,,746417727.0,
Gambia,GMB,2021,,,2639922.0,
Georgia,GEO,2021,,,3757984.0,
Germany,DEU,2021,3.11,4.49,83408560.0,
Italy,ITA,2021,11.2,10.4,59240336.0,
Jordan,JOR,2021,53.54,31.98,11148288.0,
Lebanon,LBN,2021,,,5592626.0,
Maldives,MDV,2021,,,521469.0,
Moldova,MDA,2021,18.06,4.23,3061509.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Panama,PAN,2021,51.15,47.25,4351264.0,
Rwanda,RWA,2021,72.39,68.64,13461891.0,
South Africa,ZAF,2021,31.47,33.22,59392256.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,,,51830136.0,
Tanzania,TZA,2021,,,63588332.0,
United Kingdom,GBR,2021,,,67281040.0,
Uruguay,URY,2021,,,3426265.0,
Vanuatu,VUT,2021,,,319146.0,
Vietnam,VNM,2021,62.91,49.8,97468024.0,
Zambia,ZMB,2021,66.59,76.08,19473132.0,
Zimbabwe,ZWE,2021,,,15993525.0,
