Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate)
Gabon,GAB,1990,202.59
Gabon,GAB,1995,200.05
Gabon,GAB,2000,194.55
Gabon,GAB,2005,184.8
Gabon,GAB,2010,174.99
Gabon,GAB,2015,167.29
Gabon,GAB,2019,165.71
Pakistan,PAK,1990,170.39
Pakistan,PAK,1995,182.79
Pakistan,PAK,2000,188.87
Pakistan,PAK,2005,189.29
Pakistan,PAK,2010,189.93
Pakistan,PAK,2015,187.53
Pakistan,PAK,2019,189.53
Zimbabwe,ZWE,1990,192.49
Zimbabwe,ZWE,1995,193.04
Zimbabwe,ZWE,2000,199.6
Zimbabwe,ZWE,2005,199.26
Zimbabwe,ZWE,2010,194.15
Zimbabwe,ZWE,2015,185.73
Zimbabwe,ZWE,2019,188.75
