Entity,Code,Year,Non-polio acute flaccid paralysis (AFP) rate,413999-annotations
Afghanistan,AFG,2001,1.7,
Afghanistan,AFG,2005,5.37,
Afghanistan,AFG,2010,10.91,
Afghanistan,AFG,2015,16.41,
Afghanistan,AFG,2021,24.92,
Botswana,BWA,2001,1.1,
Botswana,BWA,2005,2.3,
Botswana,BWA,2010,2.3,
Botswana,BWA,2015,3.41,
Botswana,BWA,2021,1.81,
Indonesia,IDN,2001,1.0,
Indonesia,IDN,2005,2.44,
Indonesia,IDN,2010,2.57,
Indonesia,IDN,2015,2.23,
Indonesia,IDN,2021,1.67,
Kenya,KEN,2001,1.8,
Kenya,KEN,2005,1.7,
Kenya,KEN,2010,2.3,
Kenya,KEN,2015,3.09,
Kenya,KEN,2021,3.25,
Malawi,MWI,2001,1.4,
Malawi,MWI,2005,1.3,
Malawi,MWI,2010,1.7,
Malawi,MWI,2015,1.49,
Malawi,MWI,2021,2.25,
Mozambique,MOZ,2001,0.6,
Mozambique,MOZ,2005,1.2,
Mozambique,MOZ,2010,2.46,
Mozambique,MOZ,2015,2.76,
Mozambique,MOZ,2021,4.26,
Pakistan,PAK,2001,2.33,
Pakistan,PAK,2005,5.33,
Pakistan,PAK,2010,8.87,
Pakistan,PAK,2015,9.2,
Pakistan,PAK,2021,21.37,
Rwanda,RWA,2001,1.7,
Rwanda,RWA,2005,2.8,
Rwanda,RWA,2010,3.4,
Rwanda,RWA,2015,3.26,
Rwanda,RWA,2021,2.41,
