Entity,Code,Year,Cumulative CO₂ emissions from other industry
Brazil,BRA,2000,45921000.0
Brazil,BRA,2022,176029000.0
China,CHN,1960,18925240.0
China,CHN,1980,626008060.0
China,CHN,2000,2032992000.0
China,CHN,2022,5071090000.0
European Union (27),,2000,473501500.0
European Union (27),,2022,1357910700.0
Japan,JPN,2000,107347740.0
Japan,JPN,2022,299103420.0
United Kingdom,GBR,2000,40034364.0
United Kingdom,GBR,2022,117852670.0
United States,USA,1904,1833750.0
United States,USA,1920,38142000.0
United States,USA,1940,86553000.0
United States,USA,1960,196651340.0
United States,USA,1980,443767500.0
United States,USA,2000,833206200.0
United States,USA,2022,1448170200.0
