Entity,Code,Year,Scientific and technical journal articles
China,CHN,2000,53064.35
China,CHN,2002,74015.97
China,CHN,2004,120362.55
China,CHN,2006,189949.47
China,CHN,2008,249048.56
China,CHN,2010,312516.8
China,CHN,2012,329015.38
China,CHN,2014,390396.25
China,CHN,2016,438348.75
China,CHN,2018,528263.25
Germany,DEU,2000,69002.63
Germany,DEU,2002,71545.71
Germany,DEU,2004,75429.31
Germany,DEU,2006,85233.18
Germany,DEU,2008,91903.9
Germany,DEU,2010,97252.08
Germany,DEU,2012,105433.18
Germany,DEU,2014,108473.69
Germany,DEU,2016,108295.59
Germany,DEU,2018,104396.12
India,IND,2000,21770.72
India,IND,2002,24853.47
India,IND,2004,29347.65
India,IND,2006,38515.35
India,IND,2008,48998.11
India,IND,2010,62436.88
India,IND,2012,80493.3
India,IND,2014,96425.77
India,IND,2016,112167.34
India,IND,2018,135787.8
Switzerland,CHE,2000,12581.18
Switzerland,CHE,2002,12412.04
Switzerland,CHE,2004,14116.55
Switzerland,CHE,2006,16402.79
Switzerland,CHE,2008,17372.8
Switzerland,CHE,2010,18749.79
Switzerland,CHE,2012,21002.95
Switzerland,CHE,2014,22142.67
Switzerland,CHE,2016,21952.33
Switzerland,CHE,2018,21378.56
United Kingdom,GBR,2000,77244.9
United Kingdom,GBR,2002,74814.46
United Kingdom,GBR,2004,79249.97
United Kingdom,GBR,2006,88142.47
United Kingdom,GBR,2008,91357.74
United Kingdom,GBR,2010,93791.51
United Kingdom,GBR,2012,98144.92
United Kingdom,GBR,2014,99384.79
United Kingdom,GBR,2016,99366.17
United Kingdom,GBR,2018,97680.9
United States,USA,2000,304781.56
United States,USA,2002,319307.62
United States,USA,2004,353853.5
United States,USA,2006,385515.0
United States,USA,2008,393978.94
United States,USA,2010,408817.1
United States,USA,2012,427996.8
United States,USA,2014,433192.28
United States,USA,2016,427264.62
United States,USA,2018,422807.72
