Entity,Code,Year,16.4.1 - Total value of outward illicit financial flows - DI_ILL_OUT - Drug trafficking
Bangladesh,BGD,2017,413500000.0
Bangladesh,BGD,2018,444800000.0
Bangladesh,BGD,2019,459500000.0
Bangladesh,BGD,2020,497400000.0
Bangladesh,BGD,2021,588500000.0
Colombia,COL,2015,116700000.0
Colombia,COL,2016,202600000.0
Colombia,COL,2017,293100000.0
Colombia,COL,2018,268399999.99999997
Colombia,COL,2019,255000000.0
Maldives,MDV,2020,18900000.0
Maldives,MDV,2021,13800000.0
Nepal,NPL,2019,3800000.0
Nepal,NPL,2020,4800000.0
Nepal,NPL,2021,5200000.0
