Entity,Code,Year,"GDP growth from previous year, 2020 Q2"
Austria,AUT,2020,-13.3
Belgium,BEL,2020,-14.5
Bulgaria,BGR,2020,-8.2
Canada,CAN,2020,-13.494697
Chile,CHL,2020,-13.682773
Colombia,COL,2020,-15.7
Cyprus,CYP,2020,-11.9
Czechia,CZE,2020,-10.7
Denmark,DNK,2020,-8.5
EU,,2020,-14.1
Finland,FIN,2020,-5.2
France,FRA,2020,-19.0
G7,,2020,-12.106082
Germany,DEU,2020,-11.7
Hungary,HUN,2020,-13.5
Indonesia,IDN,2020,-5.36783
Israel,ISR,2020,-7.766077
Italy,ITA,2020,-17.3
Japan,JPN,2020,-10.00138
Latvia,LVA,2020,-9.6
Mexico,MEX,2020,-18.967486
NAFTA,,2020,-10.786266
Netherlands,NLD,2020,-9.0
Nigeria,NGA,2020,-6.1
Norway,NOR,2020,-5.331291
Peru,PER,2020,-30.2358063
Philippines,PHL,2020,-16.5
Poland,POL,2020,-7.9
Romania,ROU,2020,-10.5
Singapore,SGP,2020,-13.2
Slovakia,SVK,2020,-12.1
South Korea,KOR,2020,-2.957828
Spain,ESP,2020,-22.1
Sweden,SWE,2020,-8.3
Taiwan,TWN,2020,-0.58
Tunisia,TUN,2020,-21.6
United Kingdom,GBR,2020,-21.7
United States,USA,2020,-9.5
