Entity,Code,Year,Yams | 00000137 || Production | 005510 || tonnes
Brazil,BRA,1961,85000.0
Brazil,BRA,1970,124000.0
Brazil,BRA,1980,178000.0
Brazil,BRA,1990,215000.0
Brazil,BRA,2000,231470.62
Brazil,BRA,2010,246875.95
Brazil,BRA,2021,252878.72
Central African Republic,CAF,1961,100000.0
Central African Republic,CAF,1970,125000.0
Central African Republic,CAF,1980,150000.0
Central African Republic,CAF,1990,230000.0
Central African Republic,CAF,2000,380000.0
Central African Republic,CAF,2010,435000.0
Central African Republic,CAF,2021,485307.94
Colombia,COL,1961,118000.0
Colombia,COL,1970,100000.0
Colombia,COL,1980,169100.0
Colombia,COL,1990,28322.0
Colombia,COL,2000,254849.0
Colombia,COL,2010,393763.0
Colombia,COL,2021,409423.3
Congo,COG,1961,30000.0
Congo,COG,1970,50000.0
Congo,COG,1980,11500.0
Congo,COG,1990,10612.0
Congo,COG,2000,10000.0
Congo,COG,2010,13706.03
Congo,COG,2021,15698.78
Puerto Rico,PRI,1961,13199.0
Puerto Rico,PRI,1970,13018.0
Puerto Rico,PRI,1980,15422.0
Puerto Rico,PRI,1990,9072.0
Puerto Rico,PRI,2000,4038.0
Puerto Rico,PRI,2010,1983.53
Puerto Rico,PRI,2021,1492.97
Rwanda,RWA,1961,1000.0
Rwanda,RWA,1970,3933.0
Rwanda,RWA,1980,4982.0
Rwanda,RWA,1990,2000.0
Rwanda,RWA,2000,6000.0
Rwanda,RWA,2010,20663.0
Rwanda,RWA,2021,63770.81
