Entity,Code,Year,Very important in life: Family,Continent
Albania,ALB,2022,97.42949,
Austria,AUT,2022,82.3139,
Egypt,EGY,2022,99.66666,
Germany,DEU,2022,87.97746,
Greece,GRC,2022,94.06371,
Guatemala,GTM,2022,87.30676,
Iceland,ISL,2022,95.27486,
Lebanon,LBN,2022,96.83333,
Lithuania,LTU,2022,66.69552,
Macao,MAC,2022,86.09206,
Pakistan,PAK,2022,92.58145,
Russia,RUS,2022,80.53004,
Singapore,SGP,2022,91.97635,
Slovakia,SVK,2022,89.22221,
Slovenia,SVN,2022,84.84099,
Taiwan,TWN,2022,90.77282,
Thailand,THA,2022,90.5188,
Uruguay,URY,2022,91.44025,
