Entity,Code,Year,civsoc_particip_vdem_owid,civsoc_particip_vdem_low_owid,civsoc_particip_vdem_high_owid
Argentina,ARG,1789,0.148,0.048,0.299
Argentina,ARG,1850,0.203,0.082,0.393
Argentina,ARG,1900,0.703,0.521,0.852
Argentina,ARG,1950,0.628,0.439,0.81
Argentina,ARG,2000,0.886,0.752,0.952
Argentina,ARG,2022,0.895,0.764,0.962
Australia,AUS,1789,0.245,0.097,0.45
Australia,AUS,1850,0.395,0.213,0.642
Australia,AUS,1900,0.83,0.692,0.93
Australia,AUS,1950,0.855,0.726,0.947
Australia,AUS,2000,0.867,0.742,0.952
Australia,AUS,2022,0.825,0.669,0.924
Botswana,BWA,1900,0.186,0.078,0.342
Botswana,BWA,1950,0.215,0.087,0.386
Botswana,BWA,2000,0.794,0.631,0.903
Botswana,BWA,2022,0.864,0.731,0.948
China,CHN,1789,0.124,0.051,0.281
China,CHN,1850,0.124,0.051,0.281
China,CHN,1900,0.13,0.049,0.255
China,CHN,1950,0.12,0.045,0.25
China,CHN,2000,0.378,0.205,0.564
China,CHN,2022,0.352,0.199,0.547
