Entity,Code,Year,"Coffee, green | 00000656 || Yield | 005419 || tonnes per hectare"
Cameroon,CMR,1961,0.447
Cameroon,CMR,1970,0.4227
Cameroon,CMR,1980,0.3014
Cameroon,CMR,1990,0.48189998
Cameroon,CMR,2000,0.29299998
Cameroon,CMR,2010,0.31059998
Cameroon,CMR,2021,0.31059998
El Salvador,SLV,1961,0.96989995
El Salvador,SLV,1970,1.0791
El Salvador,SLV,1980,0.99579996
El Salvador,SLV,1990,0.8509
El Salvador,SLV,2000,0.70339996
El Salvador,SLV,2010,0.73939997
El Salvador,SLV,2021,0.2351
Western Asia (FAO),,1961,0.4464
Western Asia (FAO),,1970,0.45099998
Western Asia (FAO),,1980,0.54429996
Western Asia (FAO),,1990,0.2988
Western Asia (FAO),,2000,0.3398
Western Asia (FAO),,2010,0.5481
Western Asia (FAO),,2021,0.6048
