Entity,Code,Year,equal_rights_vdem_owid,equal_rights_vdem_low_owid,equal_rights_vdem_high_owid
Argentina,ARG,1789,0.137,0.04,0.317
Argentina,ARG,1850,0.405,0.191,0.625
Argentina,ARG,1900,0.347,0.21,0.526
Argentina,ARG,1950,0.756,0.578,0.875
Argentina,ARG,2000,0.769,0.616,0.873
Argentina,ARG,2022,0.65,0.479,0.788
Australia,AUS,1789,0.081,0.018,0.235
Australia,AUS,1850,0.498,0.314,0.712
Australia,AUS,1900,0.498,0.314,0.712
Australia,AUS,1950,0.655,0.473,0.842
Australia,AUS,2000,0.919,0.824,0.968
Australia,AUS,2022,0.858,0.733,0.937
Botswana,BWA,1900,0.013,0.003,0.053
Botswana,BWA,1950,0.013,0.003,0.053
Botswana,BWA,2000,0.748,0.598,0.854
Botswana,BWA,2022,0.683,0.527,0.823
China,CHN,1789,0.023,0.006,0.083
China,CHN,1850,0.023,0.006,0.083
China,CHN,1900,0.022,0.005,0.074
China,CHN,1950,0.652,0.458,0.798
China,CHN,2000,0.325,0.172,0.475
China,CHN,2022,0.354,0.199,0.523
