Entity,Code,Year,"Armed forces personnel, total"
Central African Republic,CAF,1985,2300
Central African Republic,CAF,1990,4000
Central African Republic,CAF,1995,5000
Central African Republic,CAF,2000,5400
Central African Republic,CAF,2005,3000
Central African Republic,CAF,2010,3150
Central African Republic,CAF,2015,8150
Central African Republic,CAF,2019,10000
Cyprus,CYP,1985,10000
Cyprus,CYP,1990,10000
Cyprus,CYP,1995,14000
Cyprus,CYP,2000,10800
Cyprus,CYP,2005,10750
Cyprus,CYP,2010,12750
Cyprus,CYP,2015,12750
Cyprus,CYP,2019,16000
Guyana,GUY,1985,6600
Guyana,GUY,1990,4000
Guyana,GUY,1995,3100
Guyana,GUY,2000,3100
Guyana,GUY,2005,3000
Guyana,GUY,2010,2600
Guyana,GUY,2015,3400
Guyana,GUY,2019,3000
Lebanon,LBN,1985,17400
Lebanon,LBN,1990,36000
Lebanon,LBN,1995,62800
Lebanon,LBN,2000,76600
Lebanon,LBN,2005,85000
Lebanon,LBN,2010,79100
Lebanon,LBN,2015,80000
Lebanon,LBN,2019,80000
Liberia,LBR,1985,6800
Liberia,LBR,1990,8000
Liberia,LBR,1995,21000
Liberia,LBR,2000,15000
Liberia,LBR,2005,15000
Liberia,LBR,2010,2040
Liberia,LBR,2015,2050
Liberia,LBR,2019,2000
North America (WB),,1985,2234600
North America (WB),,1990,2267000
North America (WB),,1995,1711300
North America (WB),,2000,1523300
North America (WB),,2005,1617000
North America (WB),,2010,1635117
North America (WB),,2015,1414800
North America (WB),,2019,1460000
Portugal,PRT,1985,73000
Portugal,PRT,1990,87000
Portugal,PRT,1995,104000
Portugal,PRT,2000,90500
Portugal,PRT,2005,93000
Portugal,PRT,2010,90334
Portugal,PRT,2015,73600
Portugal,PRT,2019,52000
Vietnam,VNM,1985,1027000
Vietnam,VNM,1990,1050000
Vietnam,VNM,1995,622000
Vietnam,VNM,2000,524000
Vietnam,VNM,2005,495000
Vietnam,VNM,2010,522000
Vietnam,VNM,2015,522000
Vietnam,VNM,2019,522000
