Entity,Code,Year,Gender Development Index,Human Development Index,Population,Continent
Afghanistan,AFG,2021,0.681,0.478,40099460.0,
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,0.903,0.586,34503776.0,
Asia,,2021,,,4693332132.0,
Azerbaijan,AZE,2021,0.974,0.745,10312992.0,
Bangladesh,BGD,2021,0.898,0.661,169356240.0,
Bhutan,BTN,2021,0.937,0.666,777500.0,
Burkina Faso,BFA,2021,0.903,0.449,22100690.0,
Central African Republic,CAF,2021,0.81,0.404,5457165.0,
Chad,TCD,2021,0.77,0.394,17179744.0,
Chile,CHL,2021,0.967,0.855,19493184.0,
China,CHN,2021,0.984,0.768,1425893504.0,
Egypt,EGY,2021,0.882,0.731,109262184.0,
Ethiopia,ETH,2021,0.921,0.498,120283024.0,
Europe,,2021,,,746417727.0,
Ghana,GHA,2021,0.946,0.632,32833036.0,
Guinea,GIN,2021,0.85,0.465,13531909.0,
Haiti,HTI,2021,0.898,0.535,11447575.0,
Hungary,HUN,2021,0.987,0.846,9709784.0,
India,IND,2021,0.849,0.633,1407563904.0,
Indonesia,IDN,2021,0.941,0.705,273753184.0,
Iran,IRN,2021,0.88,0.774,87923432.0,
Iraq,IRQ,2021,0.803,0.686,43533592.0,
Italy,ITA,2021,0.97,0.895,59240336.0,
Japan,JPN,2021,0.97,0.925,124612528.0,
Lesotho,LSO,2021,0.985,0.514,2281464.0,
Liberia,LBR,2021,0.871,0.481,5193422.0,
Madagascar,MDG,2021,0.956,0.501,28915652.0,
Malaysia,MYS,2021,0.982,0.803,33573872.0,
Maldives,MDV,2021,0.925,0.747,521469.0,
Mali,MLI,2021,0.887,0.428,21904990.0,
Morocco,MAR,2021,0.861,0.683,37076588.0,
Mozambique,MOZ,2021,0.922,0.446,32077074.0,
Namibia,NAM,2021,1.004,0.615,2530150.0,
Nepal,NPL,2021,0.942,0.602,30034988.0,
Nicaragua,NIC,2021,0.956,0.667,6850546.0,
Niger,NER,2021,0.835,0.4,25252722.0,
Nigeria,NGA,2021,0.863,0.535,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,0.9,0.816,4520474.0,
Pakistan,PAK,2021,0.81,0.544,231402112.0,
Peru,PER,2021,0.95,0.762,33715464.0,
Philippines,PHL,2021,0.99,0.699,113880336.0,
Russia,RUS,2021,1.016,0.822,145102752.0,
Saudi Arabia,SAU,2021,0.917,0.875,35950396.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,0.944,0.925,51830136.0,
Sri Lanka,LKA,2021,0.949,0.782,21773438.0,
Sudan,SDN,2021,0.87,0.508,45657204.0,
Tanzania,TZA,2021,0.943,0.549,63588332.0,
Turkey,TUR,2021,0.937,0.838,84775408.0,
United States,USA,2021,1.001,0.921,336997632.0,
Yemen,YEM,2021,0.496,0.455,32981644.0,
Zambia,ZMB,2021,0.965,0.565,19473132.0,
